Orthogroup	pbar_genome.OGS.1.2.maker.proteins	acep_genome.OGS.1.2.maker.proteins
OG0000014	PBAR_PB22464-RA, PBAR_PB20379-RA, PBAR_PB16261-RA, PBAR_PB20107-RA, PBAR_PB18066-RA, PBAR_PB10536-RA, PBAR_PB10596-RA, PBAR_PB10540-RA, PBAR_PB18062-RA, PBAR_PB20378-RA, PBAR_PB14201-RA	ACEP_ACEP_00017295-RA
OG0000014	PBAR_PB13105-RA	ACEP_ACEP_00004293-RA
OG0000014	PBAR_PB18063-RA	ACEP_ACEP_00004297-RA
OG0000017	PBAR_PB10081-RA	ACEP_ACEP_00007768-RA
OG0000017	PBAR_PB10600-RA	ACEP_ACEP_00012481-RA, ACEP_ACEP_00007753-RA, ACEP_ACEP_00003080-RB, ACEP_ACEP_00007774-RA, ACEP_ACEP_00010760-RA, ACEP_ACEP_00003080-RA, ACEP_ACEP_00001102-RA, ACEP_ACEP_00008120-RA, ACEP_ACEP_00007754-RA, ACEP_ACEP_00010761-RA, ACEP_ACEP_00010763-RA, ACEP_ACEP_00007755-RA, ACEP_ACEP_00003079-RA, ACEP_ACEP_00007769-RA
OG0000017	PBAR_PB10080-RA	ACEP_ACEP_00004499-RA, ACEP_ACEP_00017276-RA, ACEP_ACEP_00004448-RA, ACEP_ACEP_00017271-RA, ACEP_ACEP_00004449-RA, ACEP_ACEP_00004450-RA, ACEP_ACEP_00007857-RA, ACEP_ACEP_00010762-RA
OG0000019	PBAR_PB11160-RA	ACEP_ACEP_00002730-RA
OG0000019	PBAR_PB26535-RA, PBAR_PB15372-RA, PBAR_PB15368-RA, PBAR_PB18595-RA, PBAR_PB15371-RA, PBAR_PB15365-RA, PBAR_PB23061-RA, PBAR_PB15369-RA, PBAR_PB18574-RA, PBAR_PB13412-RA, PBAR_PB13414-RA	ACEP_ACEP_00018129-RA
OG0000019	PBAR_PB23596-RA, PBAR_PB23595-RA, PBAR_PB26417-RA, PBAR_PB13413-RA, PBAR_PB13411-RA, PBAR_PB13410-RA	ACEP_ACEP_00014796-RA
OG0000021	PBAR_PB14321-RA	ACEP_ACEP_00001864-RA, ACEP_ACEP_00002022-RA
OG0000021	PBAR_PB16983-RA	ACEP_ACEP_00002493-RA
OG0000021	PBAR_PB25919-RA	ACEP_ACEP_00001863-RA
OG0000021	PBAR_PB25918-RA	ACEP_ACEP_00002023-RA
OG0000022	PBAR_PB21817-RA	ACEP_ACEP_00010322-RA
OG0000022	PBAR_PB26159-RA, PBAR_PB10304-RA, PBAR_PB26160-RA	ACEP_ACEP_00018172-RA, ACEP_ACEP_00017875-RA
OG0000022	PBAR_PB26161-RA	ACEP_ACEP_00015834-RA, ACEP_ACEP_00015835-RA
OG0000022	PBAR_PB21816-RA, PBAR_PB21834-RA	ACEP_ACEP_00010320-RA
OG0000022	PBAR_PB19745-RA	ACEP_ACEP_00004135-RA
OG0000023	PBAR_PB18719-RA	ACEP_ACEP_00003721-RA
OG0000024	PBAR_PB18065-RA	ACEP_ACEP_00002550-RA
OG0000024	PBAR_PB19339-RA	ACEP_ACEP_00002382-RA, ACEP_ACEP_00002381-RA
OG0000025	PBAR_PB16491-RA	ACEP_ACEP_00001487-RA
OG0000025	PBAR_PB11210-RA, PBAR_PB16489-RA, PBAR_PB16490-RA, PBAR_PB16089-RA	ACEP_ACEP_00009610-RA
OG0000026	PBAR_PB14299-RA	ACEP_ACEP_00002717-RA
OG0000026	PBAR_PB14301-RA	ACEP_ACEP_00017189-RA, ACEP_ACEP_00017190-RA, ACEP_ACEP_00002713-RA, ACEP_ACEP_00002711-RA, ACEP_ACEP_00015665-RA, ACEP_ACEP_00015666-RA, ACEP_ACEP_00015655-RA, ACEP_ACEP_00015654-RA, ACEP_ACEP_00015667-RA, ACEP_ACEP_00015664-RA, ACEP_ACEP_00015662-RA, ACEP_ACEP_00015663-RA, ACEP_ACEP_00015659-RA, ACEP_ACEP_00015658-RA, ACEP_ACEP_00015657-RA, ACEP_ACEP_00015656-RA, ACEP_ACEP_00015661-RA, ACEP_ACEP_00015660-RA, ACEP_ACEP_00015668-RA, ACEP_ACEP_00017188-RA, ACEP_ACEP_00002715-RA
OG0000028	PBAR_PB11430-RA, PBAR_PB15495-RA	ACEP_ACEP_00009725-RA
OG0000028	PBAR_PB20453-RA	ACEP_ACEP_00005915-RA
OG0000028	PBAR_PB20452-RA	ACEP_ACEP_00008106-RA
OG0000029	PBAR_PB25650-RB, PBAR_PB25650-RA	ACEP_ACEP_00015406-RA
OG0000030	PBAR_PB17838-RA, PBAR_PB10611-RA, PBAR_PB10001-RA, PBAR_PB10456-RA, PBAR_PB10418-RA, PBAR_PB17190-RA, PBAR_PB10419-RA, PBAR_PB15812-RA, PBAR_PB10556-RA, PBAR_PB17839-RA	ACEP_ACEP_00011589-RA
OG0000030	PBAR_PB17194-RA	ACEP_ACEP_00014567-RA
OG0000030	PBAR_PB13849-RA, PBAR_PB17845-RA	ACEP_ACEP_00011819-RA
OG0000031	PBAR_augustus-pbar_scf7180000350332-abinit-gene-2.90-mRNA-1	ACEP_ACEP_00014980-RA
