Orthogroup	pbar_genome.OGS.1.2.maker.proteins	acep_genome.OGS.1.2.maker.proteins
OG0000770	PBAR_PB14679-RA	ACEP_ACEP_00010590-RA, ACEP_ACEP_00003673-RA, ACEP_ACEP_00001471-RA
OG0000771	PBAR_PB15434-RA, PBAR_PB15431-RA	ACEP_ACEP_00001455-RA, ACEP_ACEP_00001454-RA
OG0000772	PBAR_PB12042-RA	ACEP_ACEP_00001405-RA
OG0000773	PBAR_PB18447-RA	ACEP_ACEP_00016782-RA, ACEP_ACEP_00001401-RA, ACEP_ACEP_00001960-RA
OG0000774	PBAR_PB17281-RA, PBAR_PB10941-RA, PBAR_PB17283-RA	ACEP_ACEP_00001262-RA
OG0000775	PBAR_PB23486-RA, PBAR_PB21982-RA, PBAR_PB21983-RA	ACEP_ACEP_00001159-RA
OG0000776	PBAR_pbar_RpL22-1	ACEP_ACEP_00001155-RA, ACEP_ACEP_00001101-RA, ACEP_ACEP_00004498-RA
OG0000777	PBAR_PB23892-RA	ACEP_ACEP_00001133-RA, ACEP_ACEP_00001134-RA, ACEP_ACEP_00001135-RA
OG0000778	PBAR_PB19059-RA	ACEP_ACEP_00002850-RA, ACEP_ACEP_00015959-RA, ACEP_ACEP_00001121-RA
OG0000779	PBAR_PB19043-RA	ACEP_ACEP_00001112-RA
OG0000780	PBAR_PB10679-RA	ACEP_ACEP_00000912-RA, ACEP_ACEP_00001034-RA, ACEP_ACEP_00001035-RA
OG0000783	PBAR_PB18213-RA	ACEP_ACEP_00000960-RA
OG0000784	PBAR_PB19218-RA	ACEP_ACEP_00000956-RA
OG0000785	PBAR_CG_02547629, PBAR_maker-pbar_scf7180000350228-snap-gene-1.13-mRNA-1	ACEP_ACEP_00009805-RA, ACEP_ACEP_00000947-RA
OG0000786	PBAR_PB12252-RA	ACEP_ACEP_00000920-RA
OG0000786	PBAR_PB15331-RA	ACEP_ACEP_00000922-RA
OG0000788	PBAR_PB23832-RA	ACEP_ACEP_00000829-RA
OG0000789	PBAR_PB18238-RA	ACEP_ACEP_00011830-RA, ACEP_ACEP_00011832-RA, ACEP_ACEP_00011831-RA
OG0000790	PBAR_PB17705-RA	ACEP_ACEP_00014600-RA, ACEP_ACEP_00011759-RA
OG0000793	PBAR_PB17566-RA	ACEP_ACEP_00014845-RA, ACEP_ACEP_00014844-RA
OG0000794	PBAR_PB17567-RA	ACEP_ACEP_00014850-RA
OG0000794	PBAR_PB17568-RA	ACEP_ACEP_00014851-RA
OG0000795	PBAR_PB10496-RA, PBAR_PB13353-RA, PBAR_PB17561-RA	ACEP_ACEP_00014838-RA
OG0000796	PBAR_PB22658-RA, PBAR_PB17188-RA, PBAR_PB18988-RA, PBAR_PB24638-RA	ACEP_ACEP_00015357-RA
OG0000797	PBAR_PB15620-RA, PBAR_PB17155-RA	ACEP_ACEP_00015359-RA, ACEP_ACEP_00005084-RA
OG0000798	PBAR_PB26414-RA	ACEP_ACEP_00017638-RA
OG0000799	PBAR_PB23272-RA, PBAR_PB27019-RA	ACEP_ACEP_00010988-RA
OG0000800	PBAR_PB23310-RA	ACEP_ACEP_00010935-RA
OG0000801	PBAR_pbar_RpS7_a-1	ACEP_ACEP_00003299-RA
OG0000801	PBAR_pbar_RpS7_b-1	ACEP_ACEP_00010923-RA
OG0000802	PBAR_PB20278-RA	ACEP_ACEP_00010890-RA
OG0000802	PBAR_PB11531-RA	ACEP_ACEP_00003051-RA
OG0000803	PBAR_PB14185-RA	ACEP_ACEP_00010834-RA, ACEP_ACEP_00010833-RA, ACEP_ACEP_00001946-RA
OG0000804	PBAR_PB16380-RA	ACEP_ACEP_00010778-RA, ACEP_ACEP_00010781-RA, ACEP_ACEP_00010779-RA
OG0000805	PBAR_PB12677-RA	ACEP_ACEP_00010786-RA
OG0000806	PBAR_PB20477-RA	ACEP_ACEP_00010738-RA
OG0000806	PBAR_PB25265-RA	ACEP_ACEP_00000653-RA
OG0000807	PBAR_PB14572-RA	ACEP_ACEP_00009592-RA, ACEP_ACEP_00009169-RA, ACEP_ACEP_00016010-RA
OG0000808	PBAR_PB22899-RA	ACEP_ACEP_00009576-RA
OG0000810	PBAR_PB19509-RA, PBAR_PB19508-RA, PBAR_PB21018-RA	ACEP_ACEP_00009463-RA
OG0000811	PBAR_pbar_GNBP1-2-1	ACEP_ACEP_03381432-RA
OG0000812	PBAR_PB25852-RA	ACEP_ACEP_00003418-RA
OG0000812	PBAR_PB23708-RA	ACEP_ACEP_00009430-RA
OG0000813	PBAR_PB23681-RA	ACEP_ACEP_00009405-RA
OG0000815	PBAR_PB15745-RB, PBAR_PB15745-RA	ACEP_ACEP_00015690-RA
OG0000816	PBAR_PB24775-RA	ACEP_ACEP_00005207-RA
OG0000817	PBAR_PB10774-RA	ACEP_ACEP_00011910-RA
OG0000818	PBAR_PB16368-RA	ACEP_ACEP_00012569-RA, ACEP_ACEP_00016536-RA, ACEP_ACEP_00011904-RA
OG0000819	PBAR_PB10777-RA	ACEP_ACEP_00011897-RA, ACEP_ACEP_00016554-RA, ACEP_ACEP_00012177-RA
OG0000821	PBAR_PB13315-RA, PBAR_PB13313-RA	ACEP_ACEP_00013230-RA
OG0000822	PBAR_PB23736-RA, PBAR_PB12798-RA	ACEP_ACEP_00013202-RA
OG0000823	PBAR_PB12764-RA, PBAR_PB12767-RA	ACEP_ACEP_00013173-RA, ACEP_ACEP_00013174-RA
OG0000824	PBAR_PB19139-RA	ACEP_ACEP_00004906-RA, ACEP_ACEP_00005850-RA, ACEP_ACEP_00016346-RA
OG0000825	PBAR_PB18120-RA	ACEP_ACEP_00003702-RA
OG0000826	PBAR_PB25908-RA	ACEP_ACEP_00009722-RA, ACEP_ACEP_00009746-RA, ACEP_ACEP_00003368-RA, ACEP_ACEP_00011622-RA
OG0000827	PBAR_PB16304-RA, PBAR_PB10308-RA	ACEP_ACEP_00011604-RA, ACEP_ACEP_00011605-RA
OG0000828	PBAR_PB18664-RA, PBAR_PB11604-RA	ACEP_ACEP_00011592-RA
OG0000829	PBAR_PB20911-RA	ACEP_ACEP_00013345-RA
OG0000829	PBAR_PB14615-RA	ACEP_ACEP_00010036-RA
OG0000830	PBAR_PB13361-RA, PBAR_PB13359-RA	ACEP_ACEP_00010010-RA
OG0000831	PBAR_PB18680-RA	ACEP_ACEP_00009873-RA, ACEP_ACEP_00009874-RA, ACEP_ACEP_00009875-RA
OG0000832	PBAR_PB15903-RA	ACEP_ACEP_00012426-RA, ACEP_ACEP_00012427-RA
OG0000833	PBAR_PB22895-RA	ACEP_ACEP_00014887-RA
OG0000833	PBAR_PB22900-RA	ACEP_ACEP_00014886-RA
OG0000834	PBAR_Pbar_Tsc2-1	ACEP_ACEP_00015521-RA, ACEP_ACEP_00014891-RA, ACEP_ACEP_00004970-RA
OG0000835	PBAR_PB22519-RA	ACEP_ACEP_00015829-RA, ACEP_ACEP_00015828-RA
OG0000836	PBAR_PB24702-RA	ACEP_ACEP_00015872-RA, ACEP_ACEP_00015871-RA
OG0000838	PBAR_PB16867-RA	ACEP_ACEP_00011282-RA, ACEP_ACEP_00007939-RA, ACEP_ACEP_00000356-RA
OG0000839	PBAR_PB11637-RA	ACEP_ACEP_00007938-RA
OG0000840	PBAR_PB27058-RA	ACEP_ACEP_00007912-RA
OG0000840	PBAR_Pbar_uqcrq-1	ACEP_ACEP_00005044-RA
OG0000841	PBAR_PB21199-RA	ACEP_ACEP_00003256-RA
OG0000842	PBAR_PB20159-RA, PBAR_PB10717-RA, PBAR_PB11672-RA	ACEP_ACEP_00007863-RA
OG0000843	PBAR_PB20116-RA	ACEP_ACEP_00007816-RA
OG0000844	PBAR_PB10160-RA	ACEP_ACEP_00007798-RA
OG0000845	PBAR_PB26892-RA	ACEP_ACEP_00018078-RA
OG0000846	PBAR_PB22445-RA	ACEP_ACEP_00000367-RA
OG0000846	PBAR_PB21244-RA	ACEP_ACEP_00014429-RA
OG0000847	PBAR_PB24132-RA	ACEP_ACEP_00014570-RA, ACEP_ACEP_00014572-RA
OG0000848	PBAR_PB18367-RA	ACEP_ACEP_00014558-RA
OG0000849	PBAR_PB18377-RA	ACEP_ACEP_00014547-RA
OG0000849	PBAR_PB18376-RA	ACEP_ACEP_00014548-RA
OG0000850	PBAR_PB11290-RA	ACEP_ACEP_00005824-RA
OG0000851	PBAR_PB14467-RA	ACEP_ACEP_00005778-RA
OG0000851	PBAR_PB14464-RA	ACEP_ACEP_00005777-RA
OG0000852	PBAR_snap_masked-pbar_scf7180000350072-abinit-gene-6.50-mRNA-1, PBAR_pbar_SPH127-RA	ACEP_ACEP_00005770-RA
OG0000853	PBAR_pbar_Pp1-1, PBAR_PB14481-RA	ACEP_ACEP_00005761-RA
OG0000854	PBAR_PB25316-RA	ACEP_ACEP_00005756-RA, ACEP_ACEP_00000598-RA, ACEP_ACEP_00000600-RA
OG0000855	PBAR_PB23838-RA	ACEP_ACEP_00014956-RA, ACEP_ACEP_00004631-RA
OG0000856	PBAR_PB23130-RA	ACEP_ACEP_00014917-RA
OG0000857	PBAR_PB24558-RA, PBAR_PB24563-RA	ACEP_ACEP_00007671-RA
OG0000858	PBAR_PB15062-RA, PBAR_PB15061-RA	ACEP_ACEP_00007616-RA
OG0000859	PBAR_PB26715-RA	ACEP_ACEP_00000686-RA, ACEP_ACEP_00017323-RA
OG0000860	PBAR_PB18538-RA	ACEP_ACEP_00007512-RA
OG0000861	PBAR_Pbar_Ndufab1_like-RB	ACEP_ACEP_00007483-RA
OG0000863	PBAR_PB24456-RA	ACEP_ACEP_00007358-RA
OG0000864	PBAR_PB21194-RA	ACEP_ACEP_00011226-RA, ACEP_ACEP_00011228-RA
OG0000865	PBAR_PB22533-RA	ACEP_ACEP_00017752-RA
OG0000865	PBAR_PB21418-RA	ACEP_ACEP_00011091-RA
OG0000866	PBAR_PB13934-RA	ACEP_ACEP_00013624-RA, ACEP_ACEP_00013625-RA
OG0000867	PBAR_PB11011-RA, PBAR_PB11014-RA, PBAR_PB11019-RA	ACEP_ACEP_00013580-RA
OG0000868	PBAR_PB17137-RB, PBAR_PB17137-RA	ACEP_ACEP_00013571-RA
OG0000869	PBAR_PB19442-RA	ACEP_ACEP_00000743-RA
OG0000869	PBAR_PB19443-RA	ACEP_ACEP_00016325-RA
OG0000870	PBAR_PB19261-RA	ACEP_ACEP_00003150-RA, ACEP_ACEP_00003106-RA, ACEP_ACEP_00000391-RA
OG0000871	PBAR_PB19262-RA	ACEP_ACEP_00003123-RA
OG0000872	PBAR_PB25202-RA	ACEP_ACEP_00002980-RA
OG0000872	PBAR_PB19228-RA	ACEP_ACEP_00002981-RA
OG0000873	PBAR_PB24003-RA	ACEP_ACEP_00002893-RA, ACEP_ACEP_00002894-RA
OG0000874	PBAR_PB24001-RA	ACEP_ACEP_00002900-RA
OG0000874	PBAR_PB24002-RA	ACEP_ACEP_00002898-RA
OG0000875	PBAR_PB14295-RA	ACEP_ACEP_00002852-RA, ACEP_ACEP_00016797-RA, ACEP_ACEP_00016905-RA
OG0000876	PBAR_PB14296-RA	ACEP_ACEP_00002855-RA, ACEP_ACEP_00002856-RA
OG0000877	PBAR_PB24105-RA, PBAR_PB24106-RA	ACEP_ACEP_00002809-RA
OG0000878	PBAR_PB24122-RA	ACEP_ACEP_00002753-RA, ACEP_ACEP_00002752-RA
OG0000879	PBAR_PB17865-RA	ACEP_ACEP_00002751-RA
OG0000880	PBAR_PB24128-RA	ACEP_ACEP_00002740-RA
OG0000880	PBAR_PB17849-RA	ACEP_ACEP_00016648-RA
OG0000881	PBAR_PB10601-RA	ACEP_ACEP_00002732-RA
OG0000881	PBAR_PB10803-RA	ACEP_ACEP_00005079-RA
OG0000882	PBAR_PB17078-RA	ACEP_ACEP_00016731-RA
OG0000882	PBAR_PB17075-RA	ACEP_ACEP_00016589-RA
OG0000883	PBAR_PB20693-RA	ACEP_ACEP_00012137-RA, ACEP_ACEP_00012135-RA
OG0000884	PBAR_PB21336-RA	ACEP_ACEP_00012089-RA
OG0000885	PBAR_PB11432-RA, PBAR_PB10097-RA, PBAR_PB10020-RA	ACEP_ACEP_00012045-RA
OG0000886	PBAR_PB21529-RA	ACEP_ACEP_00013925-RA
OG0000887	PBAR_PB18921-RA	ACEP_ACEP_00013845-RA
OG0000887	PBAR_PB18922-RA	ACEP_ACEP_00013844-RA
OG0000888	PBAR_PB12251-RA	ACEP_ACEP_00014247-RA
OG0000889	PBAR_PB17069-RA	ACEP_ACEP_00014231-RA
OG0000890	PBAR_PB25103-RA	ACEP_ACEP_00003767-RA
OG0000891	PBAR_PB24990-RA	ACEP_ACEP_00009339-RA
OG0000891	PBAR_PB24991-RA	ACEP_ACEP_00009340-RA
OG0000892	PBAR_PB25948-RA	ACEP_ACEP_00007235-RA
OG0000893	PBAR_PB26038-RA	ACEP_ACEP_00007094-RA
OG0000894	PBAR_PB14891-RA	ACEP_ACEP_00007075-RA, ACEP_ACEP_00007077-RA
OG0000895	PBAR_PB12175-RA	ACEP_ACEP_00009793-RA, ACEP_ACEP_00000167-RA
OG0000896	PBAR_Pbar_Ald-1	ACEP_ACEP_00009767-RA
OG0000897	PBAR_PB10140-RA	ACEP_ACEP_00009734-RA
OG0000897	PBAR_PB11022-RA	ACEP_ACEP_00009735-RA
OG0000898	PBAR_Pbar_Atp5e_like_like-RB, PBAR_Pbar_Atp5e_like_like-RA	ACEP_ACEP_00016930-RA
OG0000899	PBAR_PB16309-RA	ACEP_ACEP_00002078-RA, ACEP_ACEP_00013659-RA, ACEP_ACEP_00013658-RA
OG0000900	PBAR_PB17354-RA	ACEP_ACEP_00013641-RA
OG0000901	PBAR_PB18820-RA	ACEP_ACEP_00003986-RA
OG0000901	PBAR_PB18826-RA	ACEP_ACEP_00003985-RA
OG0000902	PBAR_PB10670-RA	ACEP_ACEP_00003876-RA
OG0000903	PBAR_PB25340-RA	ACEP_ACEP_00003820-RA
OG0000904	PBAR_PB23749-RA	ACEP_ACEP_00012332-RA
OG0000904	PBAR_PB23753-RA	ACEP_ACEP_00012328-RA
OG0000905	PBAR_PB23791-RA	ACEP_ACEP_00012301-RA
OG0000906	PBAR_PB18474-RA	ACEP_ACEP_00015291-RA
OG0000907	PBAR_PB26712-RA	ACEP_ACEP_00018194-RA, ACEP_ACEP_00018193-RA, ACEP_ACEP_00018195-RA
OG0000908	PBAR_PB10200-RA, PBAR_PB15860-RA, PBAR_PB17571-RA	ACEP_ACEP_00015270-RA
OG0000909	PBAR_PB22608-RA	ACEP_ACEP_00005291-RA
OG0000909	PBAR_PB22609-RA	ACEP_ACEP_00005290-RA
OG0000910	PBAR_PB18597-RA	ACEP_ACEP_00005264-RA, ACEP_ACEP_00005263-RA
OG0000911	PBAR_PB20624-RA	ACEP_ACEP_00005113-RA
OG0000912	PBAR_PB14590-RA	ACEP_ACEP_00005049-RA, ACEP_ACEP_00005050-RA
OG0000913	PBAR_PB20060-RA	ACEP_ACEP_00003492-RA, ACEP_ACEP_00005582-RA, ACEP_ACEP_00004997-RA
OG0000914	PBAR_PB17468-RA	ACEP_ACEP_00016450-RA, ACEP_ACEP_00013130-RA
OG0000915	PBAR_PB20857-RA	ACEP_ACEP_00013094-RA
OG0000916	PBAR_PB19488-RA	ACEP_ACEP_00013016-RA
OG0000917	PBAR_PB12712-RA	ACEP_ACEP_00008262-RA, ACEP_ACEP_00012400-RA, ACEP_ACEP_00004968-RA
OG0000918	PBAR_PB25905-RA	ACEP_ACEP_00012396-RA, ACEP_ACEP_00012397-RA, ACEP_ACEP_00003374-RA
OG0000919	PBAR_PB12882-RA	ACEP_ACEP_00012654-RA, ACEP_ACEP_00012653-RA
OG0000920	PBAR_PB16311-RA	ACEP_ACEP_00012603-RA
OG0000921	PBAR_PB16308-RA	ACEP_ACEP_00012605-RA
OG0000922	PBAR_PB16299-RA	ACEP_ACEP_00012589-RA
OG0000923	PBAR_PB16344-RA	ACEP_ACEP_00012549-RA
OG0000924	PBAR_PB24067-RA	ACEP_ACEP_00004619-RA
OG0000925	PBAR_PB23873-RA, PBAR_PB23872-RA	ACEP_ACEP_00004398-RA
OG0000926	PBAR_PB26132-RA, PBAR_PB26130-RA	ACEP_ACEP_00000684-RA, ACEP_ACEP_00016796-RA
OG0000927	PBAR_PB27133-RA	ACEP_ACEP_00016950-RA
OG0000927	PBAR_PB25328-RA	ACEP_ACEP_00000591-RA
OG0000928	PBAR_PB25344-RA	ACEP_ACEP_00000582-RA, ACEP_ACEP_00000576-RA
OG0000929	PBAR_Pbar13579-RA	ACEP_ACEP_00000493-RA, ACEP_ACEP_00000490-RA
OG0000930	PBAR_PB26165-RA	ACEP_ACEP_00016995-RA
OG0000930	PBAR_PB26168-RA	ACEP_ACEP_00000311-RA
OG0000931	PBAR_PB22497-RA	ACEP_ACEP_00000288-RA
OG0000932	PBAR_PB22486-RA	ACEP_ACEP_00000280-RA
OG0000933	PBAR_PB11749-RA	ACEP_ACEP_00000204-RA
OG0000933	PBAR_PB11748-RA	ACEP_ACEP_00000205-RA
OG0000934	PBAR_PB12941-RA	ACEP_ACEP_00000195-RA
OG0000934	PBAR_PB12939-RA	ACEP_ACEP_00000191-RA
OG0000935	PBAR_PB12936-RA	ACEP_ACEP_00000186-RA
OG0000936	PBAR_PB14945-RA	ACEP_ACEP_00000117-RA
OG0000937	PBAR_CG_02546957	ACEP_ACEP_00000005-RA, ACEP_ACEP_00000005-RB, ACEP_ACEP_00000005-RC
OG0000938	PBAR_PB12202-RA	ACEP_ACEP_00005468-RA, ACEP_ACEP_00016744-RA, ACEP_ACEP_00016743-RA
OG0000939	PBAR_PB17371-RA	ACEP_ACEP_00015917-RA
OG0000939	PBAR_PB17370-RA	ACEP_ACEP_00015916-RA
OG0000940	PBAR_PB20055-RA	ACEP_ACEP_00010082-RA, ACEP_ACEP_00016577-RA, ACEP_ACEP_00006676-RA
OG0000941	PBAR_PB26622-RA, PBAR_PB16990-RA, PBAR_PB10299-RA	ACEP_ACEP_00008543-RA
OG0000942	PBAR_PB22919-RA, PBAR_PB10114-RA	ACEP_ACEP_00013493-RA
OG0000943	PBAR_PB11644-RA	ACEP_ACEP_00002111-RA
OG0000944	PBAR_PB15703-RA, PBAR_PB15701-RA, PBAR_PB26556-RA	ACEP_ACEP_00001991-RA
OG0000945	PBAR_PB18431-RA	ACEP_ACEP_00001974-RA
OG0000946	PBAR_PB14182-RA	ACEP_ACEP_00001952-RA, ACEP_ACEP_00001951-RA, ACEP_ACEP_00001950-RA
OG0000947	PBAR_pbar_SP46-1	ACEP_ACEP_03383935-RA, ACEP_ACEP_03383859-RA, ACEP_ACEP_00001938-RA
OG0000948	PBAR_PB25460-RA, PBAR_PB14350-RA, PBAR_PB14349-RA	ACEP_ACEP_00001889-RA
OG0000949	PBAR_PB25500-RA	ACEP_ACEP_00001843-RA
OG0000950	PBAR_PB22066-RA	ACEP_ACEP_00005326-RA, ACEP_ACEP_00008367-RA, ACEP_ACEP_00001752-RA
OG0000951	PBAR_pbar_dl-1	ACEP_ACEP_00001662-RA
OG0000952	PBAR_maker-pbar_scf7180000350332-augustus-gene-3.29-mRNA-1	ACEP_ACEP_00001597-RA, ACEP_ACEP_00001601-RA
OG0000953	PBAR_PB14094-RA	ACEP_ACEP_00006668-RA
OG0000954	PBAR_PB25827-RA	ACEP_ACEP_00006452-RA, ACEP_ACEP_00006451-RA
OG0000955	PBAR_PB13342-RA	ACEP_ACEP_00008488-RA
OG0000956	PBAR_PB15012-RA	ACEP_ACEP_00008481-RA
OG0000957	PBAR_PB12217-RA	ACEP_ACEP_00005463-RA, ACEP_ACEP_00016765-RA, ACEP_ACEP_00016766-RA
OG0000958	PBAR_PB27015-RA	ACEP_ACEP_00010136-RA
OG0000959	PBAR_pbar_RpL11_a-1	ACEP_ACEP_04566424-RA
OG0000959	PBAR_pbar_RpL11_b-1	ACEP_ACEP_04566435-RA
OG0000960	PBAR_pbar_Lys-3-1	ACEP_ACEP_03381502-RA, ACEP_ACEP_00010110-RA, ACEP_ACEP_03381512-RA
OG0000961	PBAR_PB22901-RA	ACEP_ACEP_00005477-RA, ACEP_ACEP_00005478-RA
OG0000962	PBAR_PB11369-RA	ACEP_ACEP_00005475-RA, ACEP_ACEP_00005473-RA
OG0000963	PBAR_PB16930-RA	ACEP_ACEP_00011355-RA, ACEP_ACEP_00011354-RA, ACEP_ACEP_00011353-RA
OG0000964	PBAR_PB16889-RA	ACEP_ACEP_00011304-RA
OG0000965	PBAR_PB25213-RA	ACEP_ACEP_00011275-RA, ACEP_ACEP_00017825-RA
OG0000966	PBAR_PB13637-RA, PBAR_PB13643-RA	ACEP_ACEP_00006990-RA
OG0000967	PBAR_CG_02548297, PBAR_CG_02548306	ACEP_ACEP_00006985-RA, ACEP_ACEP_00006871-RA
OG0000968	PBAR_PB13613-RA, PBAR_PB20749-RA	ACEP_ACEP_00006977-RA
OG0000969	PBAR_PB16057-RA	ACEP_ACEP_00006932-RA, ACEP_ACEP_00006934-RA, ACEP_ACEP_00006933-RA
OG0000970	PBAR_PB21862-RA, PBAR_PB14475-RA	ACEP_ACEP_00006923-RA
OG0000971	PBAR_PB19857-RA	ACEP_ACEP_00006889-RA
OG0000972	PBAR_PB26245-RA	ACEP_ACEP_00006841-RA
OG0000972	PBAR_PB16606-RA	ACEP_ACEP_00006844-RA
OG0000973	PBAR_PB15249-RA	ACEP_ACEP_00006766-RA
OG0000974	PBAR_PB16037-RA	ACEP_ACEP_00006728-RA
OG0000975	PBAR_PB12008-RA	ACEP_ACEP_00015066-RA
OG0000976	PBAR_PB19128-RA	ACEP_ACEP_00017464-RA
OG0000976	PBAR_PB19127-RA	ACEP_ACEP_00017465-RA
OG0000977	PBAR_PB21672-RA, PBAR_PB21667-RA, PBAR_PB19146-RA	ACEP_ACEP_00004897-RA
OG0000978	PBAR_PB14670-RA	ACEP_ACEP_00004847-RA, ACEP_ACEP_00004848-RA
OG0000979	PBAR_PB10274-RA, PBAR_PB23774-RA, PBAR_PB14645-RA	ACEP_ACEP_00004828-RA
OG0000980	PBAR_PB14647-RA	ACEP_ACEP_00004816-RA
OG0000981	PBAR_PB16684-RA	ACEP_ACEP_00004789-RA
OG0000982	PBAR_PB25898-RA, PBAR_PB14565-RA	ACEP_ACEP_00003389-RA
OG0000983	PBAR_PB19984-RA, PBAR_PB19993-RA	ACEP_ACEP_00003283-RA
OG0000984	PBAR_PB21240-RA	ACEP_ACEP_00003220-RA
OG0000984	PBAR_PB12978-RA	ACEP_ACEP_00003218-RA
OG0000985	PBAR_PB13034-RA	ACEP_ACEP_00015731-RA, ACEP_ACEP_00013283-RA, ACEP_ACEP_00013282-RA
OG0000986	PBAR_PB21422-RA, PBAR_PB17739-RA	ACEP_ACEP_00013281-RA
OG0000987	PBAR_PB22045-RA, PBAR_PB18393-RA, PBAR_PB18390-RA	ACEP_ACEP_00016889-RA
OG0001020	PBAR_PB13018-RA, PBAR_PB13016-RA	ACEP_ACEP_00015609-RA
OG0001021	PBAR_PB18738-RA	ACEP_ACEP_00015592-RA, ACEP_ACEP_00015593-RA
OG0001022	PBAR_PB20908-RA	ACEP_ACEP_00016333-RA, ACEP_ACEP_00013334-RA
OG0001023	PBAR_PB11892-RA	ACEP_ACEP_00004729-RA, ACEP_ACEP_00016812-RA
OG0001024	PBAR_PB13408-RA	ACEP_ACEP_00017967-RA, ACEP_ACEP_00014798-RA
OG0001025	PBAR_PB16850-RA, PBAR_PB24478-RA	ACEP_ACEP_00012869-RA
OG0001026	PBAR_PB15238-RA	ACEP_ACEP_00006770-RA
OG0001026	PBAR_PB24525-RA	ACEP_ACEP_00012829-RA
OG0001027	PBAR_PB20927-RA	ACEP_ACEP_00012805-RA
OG0001028	PBAR_PB20954-RA, PBAR_PB20945-RA	ACEP_ACEP_00012798-RA
OG0001029	PBAR_PB18789-RA	ACEP_ACEP_00008343-RA, ACEP_ACEP_00012784-RA
OG0001030	PBAR_PB13759-RA	ACEP_ACEP_00006362-RA
OG0001031	PBAR_PB14728-RA	ACEP_ACEP_00016211-RA, ACEP_ACEP_00006327-RA
OG0001032	PBAR_PB24024-RA	ACEP_ACEP_00006329-RA
OG0001033	PBAR_PB11154-RA, PBAR_PB10544-RA	ACEP_ACEP_00006281-RA
OG0001034	PBAR_PB10093-RA	ACEP_ACEP_00006271-RA
OG0001035	PBAR_PB22913-RA	ACEP_ACEP_00000946-RA, ACEP_ACEP_00006264-RA
OG0001036	PBAR_PB26167-RA	ACEP_ACEP_00006243-RA, ACEP_ACEP_00000313-RA
OG0001037	PBAR_PB20541-RA	ACEP_ACEP_00006205-RA
OG0001038	PBAR_PB20576-RA	ACEP_ACEP_00006186-RA, ACEP_ACEP_00006185-RA
OG0001039	PBAR_PB20572-RA	ACEP_ACEP_00006181-RA
OG0001040	PBAR_PB20573-RA	ACEP_ACEP_00006179-RA
OG0001041	PBAR_Pbar-Abd-B-like-RA	ACEP_ACEP_04566590-RA, ACEP_ACEP_04566590-RB
OG0001042	PBAR_PB20615-RB, PBAR_PB20615-RA	ACEP_ACEP_00006141-RA
OG0001043	PBAR_PB22847-RA	ACEP_ACEP_00006116-RA, ACEP_ACEP_00006115-RA
OG0001044	PBAR_PB12623-RA	ACEP_ACEP_00007977-RA, ACEP_ACEP_00006118-RA
OG0001045	PBAR_PB16614-RA	ACEP_ACEP_00000456-RA, ACEP_ACEP_00006068-RA
OG0001046	PBAR_PB22877-RA	ACEP_ACEP_00006063-RA
OG0001047	PBAR_PB22982-RA, PBAR_PB22829-RA	ACEP_ACEP_00006046-RA
OG0001048	PBAR_PB22833-RA, PBAR_PB22832-RA	ACEP_ACEP_00006051-RA
OG0001050	PBAR_PB22798-RA	ACEP_ACEP_00006019-RA
OG0001051	PBAR_PB15899-RA	ACEP_ACEP_00005990-RA
OG0001052	PBAR_PB22976-RA	ACEP_ACEP_00005966-RB, ACEP_ACEP_00005966-RA
OG0001053	PBAR_PB15505-RA	ACEP_ACEP_00014034-RA
OG0001054	PBAR_pbar_shibire-1	ACEP_ACEP_00004937-RA, ACEP_ACEP_00013994-RA
OG0001055	PBAR_PB15996-RA	ACEP_ACEP_00013991-RA, ACEP_ACEP_00016505-RA
OG0001056	PBAR_PB26786-RA	ACEP_ACEP_00017880-RA, ACEP_ACEP_00016574-RA
OG0001057	PBAR_PB26787-RA	ACEP_ACEP_00017879-RA, ACEP_ACEP_00002312-RA
OG0001058	PBAR_PB19123-RA	ACEP_ACEP_00013950-RA, ACEP_ACEP_00004918-RA
OG0001059	PBAR_PB14713-RA	ACEP_ACEP_00001580-RA, ACEP_ACEP_00016772-RA
OG0001060	PBAR_PB10143-RA, PBAR_PB12706-RA	ACEP_ACEP_00011507-RA
OG0001061	PBAR_PB12687-RA	ACEP_ACEP_00011488-RA
OG0001062	PBAR_PB15966-RA	ACEP_ACEP_00011468-RA
OG0001063	PBAR_PB11698-RA	ACEP_ACEP_00002709-RA
OG0001064	PBAR_PB11691-RA	ACEP_ACEP_00002677-RA, ACEP_ACEP_00002228-RA
OG0001065	PBAR_PB11710-RA	ACEP_ACEP_00016828-RA, ACEP_ACEP_00002671-RA
OG0001066	PBAR_pbar_CaMKII-RA	ACEP_ACEP_00017349-RA, ACEP_ACEP_00002660-RA
OG0001067	PBAR_PB24206-RA	ACEP_ACEP_00002639-RA
OG0001067	PBAR_PB24207-RA	ACEP_ACEP_00002638-RA
OG0001068	PBAR_PB24280-RA	ACEP_ACEP_00002652-RA
OG0001069	PBAR_pbar_RpS24-1	ACEP_ACEP_00002631-RA
OG0001070	PBAR_PB23978-RA, PBAR_PB23980-RA	ACEP_ACEP_00002590-RA
OG0001071	PBAR_PB23982-RA, PBAR_PB23983-RA	ACEP_ACEP_00002588-RA
