Orthogroup	pbar_annotation	lhum_annotation
OG0002179	PBAR_14571-RA	LHUM_14699-RA
OG0002180	PBAR_12709-RA	LHUM_19456-RA
OG0002181	PBAR_16492-RA	LHUM_14698-RA
OG0002182	PBAR_ar_egr-1	LHUM_19458-RA
OG0002183	PBAR_ar_apterous-RA	LHUM_um_apterous-RA
OG0002184	PBAR_12699-RA	LHUM_19446-RA
OG0002185	PBAR_12696-RA	LHUM_19450-RA
OG0002186	PBAR_12682-RA	LHUM_19455-RA
OG0002187	PBAR_12693-RA	LHUM_19453-RA
OG0002189	PBAR_12685-RA	LHUM_19438-RA
OG0002190	PBAR_12686-RA	LHUM_19440-RA
OG0002191	PBAR_12506-RA	LHUM_19432-RA
OG0002192	PBAR_12505-RA	LHUM_19431-RA
OG0002193	PBAR_12508-RA	LHUM_19433-RA
OG0002194	PBAR_12511-RA	LHUM_19428-RA
OG0002195	PBAR_12516-RA	LHUM_19426-RA
OG0002196	PBAR_12515-RA	LHUM_19427-RA
OG0002197	PBAR_12518-RA	LHUM_19422-RA
OG0002198	PBAR_12512-RA	LHUM_19420-RA
OG0002199	PBAR_12517-RA	LHUM_19421-RA
OG0002200	PBAR_12513-RA	LHUM_19423-RA
OG0002201	PBAR_15970-RA	LHUM_19416-RA
OG0002202	PBAR_26571-RA	LHUM_19412-RA
OG0002203	PBAR_15971-RA	LHUM_19417-RA
OG0002204	PBAR_10624-RA	LHUM_22552-RA
OG0002205	PBAR_15962-RA	LHUM_22558-RA
OG0002206	PBAR_18179-RA	LHUM_22557-RA
OG0002207	PBAR_18187-RA	LHUM_22560-RA
OG0002209	PBAR_18189-RA	LHUM_22570-RA
OG0002210	PBAR_15476-RA	LHUM_22569-RA
OG0002211	PBAR_15475-RA	LHUM_22576-RA
OG0002212	PBAR_15473-RA	LHUM_22574-RA
OG0002213	PBAR_15468-RA	LHUM_22575-RA
OG0002214	PBAR_15467-RA	LHUM_22582-RA
OG0002215	PBAR_15469-RA	LHUM_22577-RA
OG0002216	PBAR_15464-RA	LHUM_22589-RA
OG0002217	PBAR_15465-RA	LHUM_22580-RA
OG0002218	PBAR_10320-RA	LHUM_22584-RA
OG0002219	PBAR_24624-RA	LHUM_22593-RA
OG0002220	PBAR_24623-RA	LHUM_22585-RA
OG0002221	PBAR_10321-RA	LHUM_22583-RA
OG0002222	PBAR_10325-RA	LHUM_22587-RA
OG0002223	PBAR_11703-RA	LHUM_18697-RA
OG0002224	PBAR_24030-RA	LHUM_17857-RA
OG0002225	PBAR_24042-RA	LHUM_23581-RA
OG0002226	PBAR_24041-RA	LHUM_17856-RA
OG0002227	PBAR_24029-RA	LHUM_17839-RA
OG0002228	PBAR_11694-RA	LHUM_16022-RA
OG0002229	PBAR_24028-RA	LHUM_14657-RA
OG0002230	PBAR_24239-RA	LHUM_17767-RA
OG0002231	PBAR_24039-RA	LHUM_17848-RA
OG0002232	PBAR_24044-RA	LHUM_17834-RA
OG0002233	PBAR_24034-RA	LHUM_23569-RA
OG0002234	PBAR_24036-RA	LHUM_23576-RA
OG0002235	PBAR_24263-RA	LHUM_23522-RA
OG0002236	PBAR_24231-RA	LHUM_23577-RA
OG0002237	PBAR_24264-RA	LHUM_23548-RA
OG0002238	PBAR_24032-RA	LHUM_23567-RA
OG0002239	PBAR_24237-RA	LHUM_23568-RA
OG0002240	PBAR_24641-RA	LHUM_17549-RA
OG0002241	PBAR_24273-RA	LHUM_23552-RA
OG0002242	PBAR_24646-RA	LHUM_17551-RA
OG0002243	PBAR_24040-RA	LHUM_23579-RA
OG0002244	PBAR_11695-RA	LHUM_17821-RA
OG0002245	PBAR_ar_dgs-RA	LHUM_um_dgs-RA
OG0002246	PBAR_11699-RA	LHUM_14589-RA
OG0002247	PBAR_11702-RA	LHUM_15631-RA
OG0002248	PBAR_24284-RA	LHUM_23553-RA
OG0002249	PBAR_11700-RA	LHUM_17827-RA
OG0002250	PBAR_11713-RA	LHUM_14665-RA
OG0002251	PBAR_11706-RA	LHUM_17819-RA
OG0002252	PBAR_11705-RA	LHUM_17817-RA
OG0002253	PBAR_11715-RA	LHUM_17840-RA
OG0002254	PBAR_24281-RA	LHUM_14649-RA
OG0002255	PBAR_24285-RA	LHUM_10647-RA
OG0002256	PBAR_24282-RA	LHUM_20978-RA
OG0002257	PBAR_11704-RA	LHUM_25295-RA
OG0002258	PBAR_24204-RA	LHUM_17902-RA
OG0002259	PBAR_24037-RA	LHUM_17906-RA
OG0002260	PBAR_24202-RA	LHUM_17901-RA
OG0002261	PBAR_24200-RA	LHUM_17904-RA
OG0002262	PBAR_24279-RA	LHUM_10649-RA
OG0002263	PBAR_24211-RA	LHUM_17894-RA
OG0002264	PBAR_24209-RA	LHUM_17897-RA
OG0002265	PBAR_24203-RA	LHUM_17896-RA
OG0002266	PBAR_24208-RA	LHUM_17899-RA
OG0002267	PBAR_27065-RA	LHUM_17903-RA
OG0002268	PBAR_24215-RA	LHUM_17892-RA
OG0002269	PBAR_24216-RA	LHUM_17887-RA
OG0002270	PBAR_24218-RA	LHUM_17889-RA
OG0002271	PBAR_24223-RA	LHUM_17881-RA
OG0002272	PBAR_ar_timeless-1	LHUM_17888-RA
OG0002273	PBAR_24229-RA	LHUM_17883-RA
OG0002274	PBAR_27067-RA	LHUM_17882-RA
OG0002275	PBAR_24227-RA	LHUM_17885-RA
OG0002276	PBAR_24238-RA	LHUM_17876-RA
OG0002277	PBAR_24234-RA	LHUM_17879-RA
OG0002278	PBAR_24050-RA	LHUM_17871-RA
OG0002279	PBAR_24033-RA	LHUM_17878-RA
OG0002280	PBAR_24031-RA	LHUM_17877-RA
OG0002281	PBAR_14221-RA	LHUM_17869-RA
OG0002282	PBAR_14218-RA	LHUM_17872-RA
OG0002283	PBAR_14222-RA	LHUM_17870-RA
OG0002284	PBAR_14220-RA	LHUM_17873-RA
OG0002285	PBAR_23990-RA	LHUM_23643-RA
OG0002286	PBAR_23986-RA	LHUM_12553-RA
OG0002287	PBAR_23989-RA	LHUM_23644-RA
OG0002288	PBAR_23991-RA	LHUM_12561-RA
OG0002289	PBAR_23985-RA	LHUM_12552-RA
OG0002290	PBAR_23988-RA	LHUM_23642-RA
OG0002291	PBAR_23979-RA	LHUM_23635-RA
OG0002292	PBAR_23984-RA	LHUM_23639-RA
OG0002293	PBAR_24644-RA	LHUM_17550-RA
OG0002294	PBAR_24645-RA	LHUM_17557-RA
OG0002295	PBAR_23973-RA	LHUM_23628-RA
OG0002296	PBAR_23971-RA	LHUM_23617-RA
OG0002297	PBAR_23969-RA	LHUM_14647-RA
OG0002298	PBAR_23970-RA	LHUM_23619-RA
OG0002299	PBAR_23972-RA	LHUM_23624-RA
OG0002300	PBAR_24642-RA	LHUM_17540-RA
OG0002301	PBAR_24647-RA	LHUM_17541-RA
OG0002302	PBAR_18022-RA	LHUM_17538-RA
OG0002303	PBAR_18023-RA	LHUM_17539-RA
OG0002304	PBAR_18031-RA	LHUM_17533-RA
OG0002305	PBAR_18024-RA	LHUM_17529-RA
OG0002306	PBAR_18032-RA	LHUM_17530-RA
OG0002307	PBAR_18029-RA	LHUM_17531-RA
OG0002308	PBAR_18033-RA	LHUM_17523-RA
OG0002309	PBAR_26682-RA	LHUM_17534-RA
OG0002310	PBAR_18058-RA	LHUM_17519-RA
OG0002311	PBAR_18059-RA	LHUM_17522-RA
OG0002312	PBAR_ar_capu-1	LHUM_17521-RA
OG0002313	PBAR_18055-RA	LHUM_17526-RA
OG0002314	PBAR_ar_echinoid-like-1	LHUM_17520-RA
OG0002315	PBAR_12527-RA	LHUM_17507-RA
OG0002316	PBAR_12522-RA	LHUM_17513-RA
OG0002317	PBAR_12519-RA	LHUM_17514-RA
OG0002318	PBAR_12524-RA	LHUM_17505-RA
OG0002319	PBAR_ar_FKBP6_like-RC	LHUM_16828-RA
OG0002320	PBAR_13298-RA	LHUM_17506-RA
OG0002321	PBAR_12537-RA	LHUM_17500-RA
OG0002322	PBAR_12529-RA	LHUM_17508-RA
OG0002323	PBAR_12526-RA	LHUM_17510-RA
OG0002324	PBAR_12536-RA	LHUM_17499-RA
OG0002325	PBAR_16974-RA	LHUM_17494-RA
OG0002326	PBAR_16973-RA	LHUM_17493-RA
OG0002327	PBAR_16969-RA	LHUM_17492-RA
OG0002328	PBAR_16991-RA	LHUM_23480-RA
OG0002329	PBAR_16989-RA	LHUM_23487-RA
OG0002330	PBAR_16980-RA	LHUM_23479-RA
OG0002331	PBAR_16981-RA	LHUM_23472-RA
OG0002332	PBAR_19105-RA	LHUM_17457-RA
OG0002333	PBAR_19094-RA	LHUM_17455-RA
OG0002334	PBAR_19096-RA	LHUM_17456-RA
OG0002335	PBAR_19093-RA	LHUM_17458-RA
OG0002336	PBAR_19091-RA	LHUM_17452-RA
OG0002339	PBAR_26743-RA	LHUM_10494-RA
OG0002340	PBAR_19079-RA	LHUM_15649-RA
OG0002341	PBAR_19073-RA	LHUM_15642-RA
OG0002342	PBAR_26741-RA	LHUM_15643-RA
OG0002343	PBAR_19074-RA	LHUM_15647-RA
OG0002344	PBAR_19075-RA	LHUM_15644-RA
OG0002345	PBAR_19070-RA	LHUM_15640-RA
OG0002346	PBAR_19065-RA	LHUM_15635-RA
OG0002347	PBAR_19068-RA	LHUM_15637-RA
OG0002348	PBAR_19067-RA	LHUM_15636-RA
OG0002349	PBAR_19066-RA	LHUM_15634-RA
OG0002350	PBAR_10913-RA	LHUM_14604-RA
OG0002351	PBAR_10912-RA	LHUM_14602-RA
OG0002352	PBAR_10908-RA	LHUM_14598-RA
OG0002353	PBAR_16287-RA	LHUM_14597-RA
OG0002354	PBAR_16599-RA	LHUM_14593-RA
OG0002355	PBAR_16288-RA	LHUM_14590-RA
OG0002356	PBAR_19303-RA	LHUM_14600-RA
OG0002357	PBAR_19304-RA	LHUM_14599-RA
OG0002358	PBAR_16284-RA	LHUM_14603-RA
OG0002359	PBAR_19310-RA	LHUM_16798-RA
OG0002360	PBAR_19312-RA	LHUM_16791-RA
OG0002361	PBAR_26751-RA	LHUM_15267-RA
OG0002362	PBAR_19311-RA	LHUM_16782-RA
OG0002363	PBAR_19323-RA	LHUM_16781-RA
OG0002364	PBAR_19316-RA	LHUM_11835-RA
OG0002365	PBAR_19324-RA	LHUM_16780-RA
OG0002366	PBAR_19320-RA	LHUM_11821-RA
OG0002367	PBAR_19317-RA	LHUM_16785-RA
OG0002368	PBAR_19322-RA	LHUM_11815-RA
OG0002370	PBAR_19315-RA	LHUM_11820-RA
OG0002371	PBAR_19332-RA	LHUM_11817-RA
OG0002372	PBAR_19321-RA	LHUM_11814-RA
OG0002373	PBAR_19318-RA	LHUM_11823-RA
OG0002374	PBAR_ar_CG15531-RA	LHUM_13322-RA
OG0002375	PBAR_19342-RA	LHUM_14565-RA
OG0002376	PBAR_19344-RA	LHUM_14643-RA
OG0002377	PBAR_26754-RA	LHUM_25519-RA
OG0002378	PBAR_19340-RA	LHUM_14640-RA
OG0002379	PBAR_19352-RA	LHUM_14637-RA
OG0002380	PBAR_19337-RA	LHUM_14636-RA
OG0002381	PBAR_19354-RA	LHUM_14642-RA
OG0002382	PBAR_19349-RA	LHUM_14635-RA
OG0002383	PBAR_19358-RA	LHUM_14644-RA
OG0002384	PBAR_ar_RpL15-1	LHUM_14578-RA
OG0002385	PBAR_19338-RA	LHUM_14569-RA
OG0002386	PBAR_19355-RA	LHUM_17768-RA
OG0002387	PBAR_19360-RA	LHUM_17770-RA
OG0002388	PBAR_19361-RA	LHUM_17772-RA
OG0002389	PBAR_19359-RA	LHUM_17777-RA
OG0002390	PBAR_19353-RA	LHUM_17765-RA
OG0002391	PBAR_19351-RA	LHUM_17776-RA
OG0002392	PBAR_19348-RA	LHUM_17766-RA
OG0002393	PBAR_19357-RA	LHUM_17771-RA
OG0002394	PBAR_19364-RA	LHUM_17774-RA
OG0002395	PBAR_19350-RA	LHUM_17775-RA
OG0002396	PBAR_19366-RA	LHUM_17780-RA
OG0002397	PBAR_19367-RA	LHUM_17781-RA
OG0002398	PBAR_19369-RA	LHUM_17779-RA
OG0002399	PBAR_19370-RA	LHUM_17788-RA
OG0002400	PBAR_19371-RA	LHUM_17782-RA
OG0002401	PBAR_19374-RA	LHUM_17787-RA
OG0002402	PBAR_19379-RA	LHUM_17790-RA
OG0002403	PBAR_19378-RA	LHUM_17789-RA
OG0002404	PBAR_ar_SCR-B6-RA	LHUM_um_SCR-B6-RA
OG0002405	PBAR_19380-RA	LHUM_17795-RA
OG0002406	PBAR_ar_RpL40-RA	LHUM_um_RpL40-RA
OG0002407	PBAR_19381-RA	LHUM_17797-RA
OG0002408	PBAR_19387-RA	LHUM_17801-RA
OG0002409	PBAR_19386-RA	LHUM_17798-RA
OG0002410	PBAR_19385-RA	LHUM_17796-RA
OG0002411	PBAR_19390-RA	LHUM_17803-RA
OG0002412	PBAR_19389-RA	LHUM_17802-RA
OG0002413	PBAR_19384-RA	LHUM_17800-RA
OG0002414	PBAR_26757-RA	LHUM_25693-RA
OG0002415	PBAR_19397-RA	LHUM_17812-RA
OG0002416	PBAR_19398-RA	LHUM_17813-RA
OG0002417	PBAR_19415-RA	LHUM_17825-RA
OG0002418	PBAR_19401-RA	LHUM_17818-RA
OG0002419	PBAR_19405-RA	LHUM_17811-RA
OG0002421	PBAR_19424-RA	LHUM_14655-RA
OG0002422	PBAR_ar_Ndufa8_like-1	LHUM_14664-RA
OG0002423	PBAR_19413-RA	LHUM_14666-RA
OG0002424	PBAR_19403-RA	LHUM_14667-RA
OG0002425	PBAR_19427-RA	LHUM_17858-RA
OG0002426	PBAR_19420-RA	LHUM_17850-RA
OG0002427	PBAR_19417-RA	LHUM_17845-RA
OG0002428	PBAR_19421-RA	LHUM_14579-RA
OG0002429	PBAR_19419-RA	LHUM_14572-RA
OG0002430	PBAR_19426-RA	LHUM_21059-RA
OG0002431	PBAR_19435-RA	LHUM_14585-RA
OG0002432	PBAR_19423-RA	LHUM_14659-RA
OG0002433	PBAR_19431-RA	LHUM_14574-RA
OG0002434	PBAR_19430-RA	LHUM_14575-RA
OG0002435	PBAR_19434-RA	LHUM_23501-RA
OG0002436	PBAR_19429-RA	LHUM_23491-RA
OG0002437	PBAR_19428-RA	LHUM_23492-RA
OG0002438	PBAR_19432-RA	LHUM_23500-RA
OG0002439	PBAR_19436-RA	LHUM_14584-RA
OG0002440	PBAR_19433-RA	LHUM_14581-RA
OG0002441	PBAR_23957-RA	LHUM_23509-RA
OG0002442	PBAR_23950-RA	LHUM_23504-RA
OG0002443	PBAR_23962-RA	LHUM_23513-RA
OG0002444	PBAR_23966-RA	LHUM_11670-RA
OG0002446	PBAR_23959-RA	LHUM_23512-RA
OG0002447	PBAR_24676-RA	LHUM_17485-RA
OG0002448	PBAR_23967-RA	LHUM_14645-RA
OG0002449	PBAR_23963-RA	LHUM_14634-RA
OG0002450	PBAR_23961-RA	LHUM_14632-RA
OG0002451	PBAR_23960-RA	LHUM_23515-RA
OG0002452	PBAR_14374-RA	LHUM_17484-RA
OG0002453	PBAR_14373-RA	LHUM_17477-RA
OG0002454	PBAR_14369-RA	LHUM_17473-RA
OG0002455	PBAR_14370-RA	LHUM_17475-RA
OG0002456	PBAR_14371-RA	LHUM_17479-RA
OG0002457	PBAR_26476-RA	LHUM_25682-RA
OG0002458	PBAR_ar_Cox7c_like-1	LHUM_17476-RA
OG0002459	PBAR_20310-RA	LHUM_17469-RA
OG0002460	PBAR_14793-RA	LHUM_17468-RA
OG0002461	PBAR_14791-RA	LHUM_17463-RA
OG0002462	PBAR_14790-RA	LHUM_17466-RA
OG0002463	PBAR_14787-RA	LHUM_17464-RA
OG0002464	PBAR_14792-RA	LHUM_17465-RA
OG0002465	PBAR_ar_RpL6-1	LHUM_17467-RA
OG0002466	PBAR_10923-RA	LHUM_23476-RA
OG0002467	PBAR_10928-RA	LHUM_25674-RA
OG0002468	PBAR_ar_RpL7-1	LHUM_23474-RA
OG0002469	PBAR_10927-RA	LHUM_17461-RA
OG0002470	maker-pbar_scf7180000350188-snap-gene-2.32-mRNA-1	LHUM_11688-RA
OG0002471	PBAR_12298-RA	LHUM_20756-RA
OG0002472	PBAR_19170-RA	LHUM_20487-RA
OG0002473	PBAR_12305-RA	LHUM_20758-RA
OG0002474	PBAR_12303-RA	LHUM_20760-RA
OG0002475	PBAR_17678-RA	LHUM_16786-RA
OG0002476	PBAR_17677-RA	LHUM_16784-RA
OG0002477	PBAR_16570-RA	LHUM_12876-RA
OG0002478	PBAR_23727-RA	LHUM_20310-RA
OG0002479	PBAR_23724-RA	LHUM_20292-RA
OG0002480	PBAR_ar_exba-1	LHUM_20303-RA
OG0002481	PBAR_23723-RA	LHUM_20294-RA
OG0002482	PBAR_21533-RA	LHUM_22513-RA
OG0002483	PBAR_21120-RA	LHUM_20286-RA
OG0002484	PBAR_21531-RA	LHUM_22516-RA
OG0002485	PBAR_23722-RA	LHUM_20297-RA
OG0002486	PBAR_21554-RA	LHUM_22499-RA
OG0002487	PBAR_21551-RA	LHUM_22498-RA
OG0002488	augustus-pbar_scf7180000350332-abinit-gene-0.116-mRNA-1	LHUM_22511-RA
OG0002490	augustus-pbar_scf7180000350332-abinit-gene-3.271-mRNA-1	LHUM_23647-RA
OG0002491	augustus_masked-pbar_scf7180000350332-abinit-gene-3.94-mRNA-1	LHUM_14476-RA
OG0002493	augustus_masked-pbar_scf7180000350332-abinit-gene-1.42-mRNA-1	LHUM_14480-RA
OG0002494	PBAR_21546-RA	LHUM_22501-RA
OG0002495	PBAR_21552-RA	LHUM_22494-RA
OG0002496	PBAR_21547-RA	LHUM_22502-RA
OG0002497	PBAR_21550-RA	LHUM_15986-RA
OG0002498	PBAR_21545-RA	LHUM_15981-RA
OG0002500	PBAR_ar_Ndufa10_like-1	LHUM_15980-RA
OG0002501	PBAR_18166-RA	LHUM_15222-RA
OG0002502	PBAR_21548-RA	LHUM_15984-RA
OG0002503	PBAR_18171-RA	LHUM_15226-RA
OG0002504	PBAR_18173-RA	LHUM_15217-RA
OG0002505	PBAR_18164-RA	LHUM_15231-RA
OG0002506	PBAR_23701-RA	LHUM_21765-RA
OG0002507	PBAR_22740-RA	LHUM_23959-RA
OG0002508	PBAR_16014-RA	LHUM_11672-RA
OG0002509	PBAR_16019-RA	LHUM_11666-RA
OG0002510	PBAR_26103-RA	LHUM_15700-RA
OG0002511	PBAR_26104-RA	LHUM_10387-RA
OG0002512	PBAR_26106-RA	LHUM_15702-RA
OG0002513	PBAR_26108-RA	LHUM_15693-RA
OG0002514	PBAR_26118-RA	LHUM_25189-RA
OG0002515	PBAR_26110-RA	LHUM_10395-RA
OG0002516	PBAR_26105-RA	LHUM_25183-RA
OG0002517	PBAR_26097-RA	LHUM_16235-RA
OG0002518	PBAR_26096-RA	LHUM_23885-RA
OG0002519	PBAR_26101-RA	LHUM_23882-RA
OG0002520	PBAR_26112-RA	LHUM_15696-RA
OG0002521	PBAR_26113-RA	LHUM_19900-RA
OG0002522	PBAR_26092-RA	LHUM_18853-RA
OG0002523	PBAR_26098-RA	LHUM_18848-RA
OG0002524	PBAR_26087-RA	LHUM_18847-RA
OG0002525	PBAR_26100-RA	LHUM_18852-RA
OG0002526	PBAR_26099-RA	LHUM_23880-RA
OG0002527	PBAR_26082-RA	LHUM_18842-RA
OG0002528	PBAR_10249-RA	LHUM_18841-RA
OG0002529	PBAR_26085-RA	LHUM_18839-RA
OG0002530	PBAR_26094-RA	LHUM_18850-RA
OG0002531	PBAR_26073-RA	LHUM_22948-RA
OG0002532	PBAR_26083-RA	LHUM_18831-RA
OG0002533	PBAR_26080-RA	LHUM_22959-RA
OG0002534	PBAR_26076-RA	LHUM_18826-RA
OG0002535	PBAR_26081-RA	LHUM_22958-RA
OG0002536	PBAR_26066-RA	LHUM_10399-RA
OG0002537	PBAR_26067-RA	LHUM_10400-RA
OG0002538	PBAR_26070-RA	LHUM_10402-RA
OG0002539	PBAR_26074-RA	LHUM_10406-RA
OG0002540	PBAR_19747-RA	LHUM_10405-RA
OG0002541	PBAR_11623-RA	LHUM_10384-RA
OG0002542	PBAR_25013-RA	LHUM_18725-RA
OG0002543	PBAR_11621-RA	LHUM_10393-RA
OG0002544	PBAR_11624-RA	LHUM_10386-RA
OG0002545	PBAR_25010-RA	LHUM_18741-RA
OG0002546	PBAR_10243-RA	LHUM_18737-RA
OG0002547	PBAR_25009-RA	LHUM_18740-RA
OG0002548	PBAR_25006-RA	LHUM_22926-RA
OG0002549	PBAR_25015-RA	LHUM_22928-RA
OG0002550	PBAR_25007-RA	LHUM_22927-RA
OG0002551	PBAR_25003-RA	LHUM_22925-RA
OG0002552	PBAR_25005-RA	LHUM_22923-RA
OG0002553	PBAR_25002-RA	LHUM_22922-RA
OG0002554	PBAR_19213-RA	LHUM_22920-RA
OG0002555	PBAR_19214-RA	LHUM_22918-RA
OG0002556	PBAR_19199-RA	LHUM_22914-RA
OG0002557	PBAR_19205-RA	LHUM_22915-RA
OG0002558	PBAR_19204-RA	LHUM_22916-RA
OG0002559	PBAR_19203-RA	LHUM_22909-RA
OG0002560	PBAR_19198-RA	LHUM_22905-RA
OG0002561	PBAR_19191-RA	LHUM_22908-RA
OG0002562	PBAR_19194-RA	LHUM_22910-RA
OG0002563	PBAR_19197-RA	LHUM_22906-RA
OG0002564	PBAR_19195-RA	LHUM_22912-RA
OG0002565	PBAR_19190-RA	LHUM_22903-RA
OG0002566	PBAR_15119-RA	LHUM_24269-RA
OG0002567	PBAR_19187-RA	LHUM_24278-RA
OG0002568	PBAR_15109-RA	LHUM_24202-RA
OG0002569	PBAR_15116-RA	LHUM_24267-RA
OG0002570	PBAR_15121-RA	LHUM_24198-RA
OG0002571	PBAR_15106-RA	LHUM_24192-RA
OG0002572	PBAR_15105-RA	LHUM_24193-RA
OG0002573	PBAR_15122-RA	LHUM_24281-RA
OG0002574	PBAR_15117-RA	LHUM_24190-RA
OG0002575	PBAR_15123-RA	LHUM_24201-RA
OG0002576	PBAR_15111-RA	LHUM_24182-RA
OG0002577	PBAR_15110-RA	LHUM_24181-RA
OG0002578	PBAR_20075-RA	LHUM_24164-RA
OG0002579	PBAR_20073-RA	LHUM_24169-RA
OG0002580	PBAR_20077-RA	LHUM_24165-RA
OG0002581	PBAR_20071-RA	LHUM_24174-RA
OG0002582	PBAR_20078-RA	LHUM_24162-RA
OG0002583	PBAR_20079-RA	LHUM_24161-RA
OG0002584	PBAR_20086-RA	LHUM_24159-RA
OG0002585	PBAR_20091-RA	LHUM_24157-RA
OG0002586	PBAR_20094-RA	LHUM_24154-RA
OG0002587	PBAR_20093-RA	LHUM_24153-RA
OG0002588	PBAR_20090-RA	LHUM_24156-RA
OG0002589	PBAR_20105-RA	LHUM_24152-RA
OG0002590	PBAR_20104-RA	LHUM_24149-RA
OG0002591	PBAR_ar_par-6-1	LHUM_24150-RA
OG0002592	PBAR_20106-RA	LHUM_24147-RA
OG0002593	PBAR_11252-RA	LHUM_24144-RA
OG0002594	PBAR_11255-RA	LHUM_24136-RA
OG0002595	PBAR_26120-RA	LHUM_24135-RA
OG0002596	PBAR_14729-RA	LHUM_13825-RA
OG0002597	PBAR_14730-RA	LHUM_13826-RA
OG0002598	PBAR_18424-RA	LHUM_19189-RA
OG0002599	PBAR_22015-RA	LHUM_19254-RA
OG0002600	PBAR_ar_tub-1	LHUM_12784-RA
OG0002601	PBAR_14757-RA	LHUM_13827-RA
OG0002602	PBAR_18420-RA	LHUM_19179-RA
OG0002603	PBAR_11176-RA	LHUM_13822-RA
OG0002604	PBAR_14309-RA	LHUM_19969-RA
OG0002605	PBAR_14308-RA	LHUM_19978-RA
OG0002606	PBAR_14306-RA	LHUM_19981-RA
OG0002607	PBAR_ar_Atp5l_like-1	LHUM_25227-RA
OG0002608	PBAR_18439-RA	LHUM_19276-RA
OG0002609	PBAR_18433-RA	LHUM_19186-RA
OG0002610	PBAR_18443-RA	LHUM_19180-RA
OG0002611	PBAR_18407-RA	LHUM_10612-RA
OG0002612	PBAR_18416-RA	LHUM_10607-RA
OG0002613	PBAR_ar_Pros45-like-1	LHUM_10815-RA
OG0002614	PBAR_16579-RA	LHUM_12873-RA
OG0002615	PBAR_25609-RA	LHUM_18915-RA
OG0002616	PBAR_10716-RA	LHUM_19003-RA
OG0002617	PBAR_24698-RA	LHUM_23122-RA
OG0002618	PBAR_26196-RA	LHUM_17740-RA
OG0002619	PBAR_26192-RA	LHUM_17738-RA
OG0002620	PBAR_26195-RA	LHUM_17739-RA
OG0002621	PBAR_25228-RA	LHUM_17742-RA
OG0002622	PBAR_26193-RA	LHUM_17735-RA
OG0002623	PBAR_10666-RA	LHUM_11021-RA
OG0002625	PBAR_11936-RA	LHUM_13863-RA
OG0002626	PBAR_21153-RA	LHUM_23209-RA
OG0002627	PBAR_21152-RA	LHUM_23211-RA
OG0002628	PBAR_21144-RA	LHUM_23208-RA
OG0002629	PBAR_ar_drl-2-RA	LHUM_23216-RA
OG0002630	PBAR_21158-RA	LHUM_23221-RA
OG0002631	PBAR_21166-RA	LHUM_23228-RA
OG0002632	PBAR_21163-RA	LHUM_23223-RA
OG0002633	PBAR_21168-RA	LHUM_23227-RA
OG0002634	PBAR_ar_RpL8-1	LHUM_23225-RA
OG0002635	PBAR_ar_RpL8-1duplicate	LHUM_23217-RA
OG0002636	PBAR_21172-RA	LHUM_23224-RA
OG0002637	PBAR_21177-RA	LHUM_20531-RA
OG0002638	PBAR_21175-RA	LHUM_20527-RA
OG0002639	PBAR_21170-RA	LHUM_20537-RA
OG0002640	PBAR_21171-RA	LHUM_20541-RA
OG0002641	PBAR_25088-RA	LHUM_24011-RA
OG0002642	PBAR_15919-RA	LHUM_20348-RA
OG0002643	PBAR_26567-RA	LHUM_20351-RA
OG0002644	PBAR_15924-RA	LHUM_20347-RA
OG0002645	PBAR_15925-RA	LHUM_25870-RA
OG0002646	PBAR_15927-RA	LHUM_20344-RA
OG0002647	PBAR_15929-RA	LHUM_20342-RA
OG0002648	PBAR_15936-RA	LHUM_20340-RA
OG0002649	PBAR_26569-RA	LHUM_25842-RA
OG0002650	PBAR_15937-RA	LHUM_20341-RA
OG0002651	PBAR_15940-RA	LHUM_20334-RA
OG0002652	PBAR_15943-RA	LHUM_20338-RA
OG0002653	PBAR_15944-RA	LHUM_20332-RA
OG0002654	PBAR_15947-RA	LHUM_20336-RA
OG0002655	PBAR_15946-RA	LHUM_20335-RA
OG0002656	PBAR_15949-RA	LHUM_20331-RA
OG0002657	PBAR_15950-RA	LHUM_20328-RA
OG0002658	PBAR_15941-RA	LHUM_20330-RA
OG0002659	PBAR_15951-RA	LHUM_20325-RA
OG0002660	PBAR_15953-RA	LHUM_20327-RA
OG0002661	PBAR_15954-RA	LHUM_20323-RA
OG0002662	PBAR_16418-RA	LHUM_11971-RA
OG0002663	PBAR_15952-RA	LHUM_20326-RA
OG0002664	PBAR_16426-RA	LHUM_13994-RA
OG0002665	PBAR_16424-RA	LHUM_13992-RA
OG0002666	PBAR_16427-RA	LHUM_14309-RA
OG0002667	PBAR_16425-RA	LHUM_14317-RA
OG0002668	PBAR_16417-RA	LHUM_11970-RA
OG0002669	PBAR_16436-RA	LHUM_15122-RA
OG0002670	PBAR_16434-RA	LHUM_15123-RA
OG0002671	PBAR_16443-RA	LHUM_11844-RA
OG0002672	PBAR_16440-RA	LHUM_14682-RA
OG0002673	PBAR_16442-RA	LHUM_22984-RA
OG0002674	PBAR_16439-RA	LHUM_22982-RA
OG0002675	PBAR_16448-RA	LHUM_11316-RA
OG0002676	PBAR_21087-RA	LHUM_12090-RA
OG0002678	PBAR_22565-RA	LHUM_24064-RA
OG0002679	PBAR_22615-RA	LHUM_10900-RA
OG0002680	PBAR_23652-RA	LHUM_24086-RA
