Orthogroup	pbar_annotation	lhum_annotation
OG0000006	PBAR_13139-RA	LHUM_14670-RA, LHUM_14693-RA, LHUM_11875-RA, LHUM_24294-RA, LHUM_10115-RA, LHUM_16778-RA, LHUM_10461-RA, LHUM_22776-RA, LHUM_13392-RA, LHUM_24063-RA, LHUM_10655-RA, LHUM_10216-RA, LHUM_10380-RA, LHUM_10503-RA, LHUM_22781-RA, LHUM_18965-RA, LHUM_10220-RA, LHUM_15671-RA, LHUM_10488-RA, LHUM_10330-RA, LHUM_11873-RA, LHUM_10528-RA, LHUM_10232-RA, LHUM_19340-RA, LHUM_24627-RA, LHUM_24628-RA, LHUM_10856-RA, LHUM_11604-RA, LHUM_15068-RA, LHUM_10757-RA, LHUM_19724-RA, LHUM_14684-RA, LHUM_13869-RA, LHUM_14820-RA, LHUM_24302-RA, LHUM_24311-RA, LHUM_10475-RA
OG0000007	PBAR_14953-RA, PBAR_13126-RA, PBAR_21737-RA, PBAR_10397-RA, PBAR_13525-RA, PBAR_21975-RA, PBAR_16470-RA, PBAR_16468-RA, PBAR_14719-RA, PBAR_10746-RA, PBAR_21735-RA, PBAR_16474-RA, PBAR_16475-RA, PBAR_12159-RA, PBAR_14954-RA, PBAR_14720-RA, PBAR_10748-RA, PBAR_11178-RA, PBAR_21997-RA, PBAR_13125-RA, PBAR_10747-RA, PBAR_14717-RA, PBAR_26949-RA, PBAR_13501-RA, PBAR_10906-RA, PBAR_10750-RA, PBAR_21730-RA, PBAR_12814-RA, PBAR_12240-RA, PBAR_11654-RA, PBAR_20747-RA, PBAR_21716-RA, PBAR_12801-RA, PBAR_10514-RA, PBAR_12242-RA, PBAR_12815-RA, PBAR_13500-RA, PBAR_15425-RA	LHUM_19102-RA
OG0000008	PBAR_17797-RA	LHUM_22712-RA, LHUM_20013-RA, LHUM_10707-RA, LHUM_13394-RA, LHUM_10257-RA, LHUM_13868-RA, LHUM_25231-RA, LHUM_11848-RA, LHUM_10147-RA, LHUM_10418-RA, LHUM_13364-RA, LHUM_22762-RA, LHUM_10508-RA, LHUM_20605-RA, LHUM_10843-RA, LHUM_15067-RA, LHUM_10496-RA, LHUM_10731-RA, LHUM_10065-RA, LHUM_14695-RA, LHUM_23914-RA, LHUM_11576-RA, LHUM_11138-RA, LHUM_13871-RA, LHUM_10249-RA, LHUM_14375-RA, LHUM_10239-RA, LHUM_10735-RA, LHUM_10709-RA, LHUM_23196-RA, LHUM_14940-RA, LHUM_23744-RA, LHUM_10355-RA, LHUM_15436-RA, LHUM_15623-RA, LHUM_15171-RA
OG0000009	PBAR_23729-RA	LHUM_25509-RA, LHUM_25196-RA, LHUM_10086-RA, LHUM_15078-RA, LHUM_15427-RA, LHUM_16498-RA, LHUM_14717-RA, LHUM_13402-RA, LHUM_25197-RA, LHUM_10177-RA, LHUM_11869-RA, LHUM_10286-RA, LHUM_13194-RA, LHUM_22483-RA, LHUM_10414-RA, LHUM_10370-RA, LHUM_10742-RA
OG0000009	PBAR_18641-RA	LHUM_15167-RA, LHUM_22779-RA, LHUM_13184-RA, LHUM_25199-RA, LHUM_10176-RA, LHUM_13329-RA
OG0000010	PBAR_13497-RA	LHUM_25812-RA
OG0000010	PBAR_18385-RA	LHUM_25201-RA, LHUM_25275-RA
OG0000010	PBAR_11078-RA	LHUM_23200-RA, LHUM_10442-RA, LHUM_14397-RA, LHUM_22760-RA
OG0000010	PBAR_18386-RA	LHUM_13202-RA, LHUM_11518-RA, LHUM_10028-RA, LHUM_23740-RA, LHUM_12833-RA, LHUM_15673-RA, LHUM_15168-RA, LHUM_15074-RA, LHUM_19319-RA, LHUM_25195-RA, LHUM_10062-RA
OG0000011	PBAR_11305-RA	LHUM_19899-RA
