Orthogroup	acep_annotation	lhum_annotation
OG0000003	ACEP_00011763-RA	LHUM_18626-RA, LHUM_15994-RA, LHUM_10590-RA, LHUM_18625-RA, LHUM_15096-RA, LHUM_14405-RA
OG0000003	ACEP_00011661-RA	LHUM_11606-RA
OG0000004	ACEP_00012041-RA	LHUM_10073-RA, LHUM_24295-RA, LHUM_24308-RA, LHUM_10083-RA, LHUM_14429-RA, LHUM_22777-RA, LHUM_14671-RA, LHUM_24296-RA, LHUM_14683-RA, LHUM_13867-RA
OG0000005	ACEP_04565848-RA, ACEP_00003027-RA	LHUM_25976-RA
OG0000005	ACEP_00016823-RA, ACEP_00017159-RA, ACEP_00017158-RA, ACEP_00017155-RA, ACEP_00017156-RA, ACEP_00017153-RA, ACEP_04565945-RA, ACEP_00017154-RA, ACEP_00017157-RA, ACEP_00017145-RA, ACEP_00017146-RA, ACEP_00017148-RA, ACEP_00017147-RA, ACEP_00003036-RA, ACEP_00017150-RA, ACEP_00017149-RA, ACEP_00003037-RA, ACEP_04565968-RA, ACEP_00003029-RA, ACEP_00003030-RA, ACEP_00017164-RA, ACEP_00017161-RA, ACEP_00017162-RA, ACEP_00017160-RA, ACEP_00017169-RA, ACEP_00017170-RA, ACEP_00017167-RA, ACEP_04565810-RA, AcOr-RA, ACEP_04566131-RA, ACEP_04566150-RA, ACEP_00017165-RA, ACEP_00017166-RA	LHUM_22492-RA
OG0000006	ACEP_00012657-RA, ACEP_00012042-RA	LHUM_14670-RA, LHUM_14693-RA, LHUM_11875-RA, LHUM_24294-RA, LHUM_10115-RA, LHUM_16778-RA, LHUM_10461-RA, LHUM_22776-RA, LHUM_13392-RA, LHUM_24063-RA, LHUM_10655-RA, LHUM_10216-RA, LHUM_10380-RA, LHUM_10503-RA, LHUM_22781-RA, LHUM_18965-RA, LHUM_10220-RA, LHUM_15671-RA, LHUM_10488-RA, LHUM_10330-RA, LHUM_11873-RA, LHUM_10528-RA, LHUM_10232-RA, LHUM_19340-RA, LHUM_24627-RA, LHUM_24628-RA, LHUM_10856-RA, LHUM_11604-RA, LHUM_15068-RA, LHUM_10757-RA, LHUM_19724-RA, LHUM_14684-RA, LHUM_13869-RA, LHUM_14820-RA, LHUM_24302-RA, LHUM_24311-RA, LHUM_10475-RA
OG0000008	ACEP_00005311-RA	LHUM_22712-RA, LHUM_20013-RA, LHUM_10707-RA, LHUM_13394-RA, LHUM_10257-RA, LHUM_13868-RA, LHUM_25231-RA, LHUM_11848-RA, LHUM_10147-RA, LHUM_10418-RA, LHUM_13364-RA, LHUM_22762-RA, LHUM_10508-RA, LHUM_20605-RA, LHUM_10843-RA, LHUM_15067-RA, LHUM_10496-RA, LHUM_10731-RA, LHUM_10065-RA, LHUM_14695-RA, LHUM_23914-RA, LHUM_11576-RA, LHUM_11138-RA, LHUM_13871-RA, LHUM_10249-RA, LHUM_14375-RA, LHUM_10239-RA, LHUM_10735-RA, LHUM_10709-RA, LHUM_23196-RA, LHUM_14940-RA, LHUM_23744-RA, LHUM_10355-RA, LHUM_15436-RA, LHUM_15623-RA, LHUM_15171-RA
OG0000009	ACEP_00003497-RA	LHUM_25509-RA, LHUM_25196-RA, LHUM_10086-RA, LHUM_15078-RA, LHUM_15427-RA, LHUM_16498-RA, LHUM_14717-RA, LHUM_13402-RA, LHUM_25197-RA, LHUM_10177-RA, LHUM_11869-RA, LHUM_10286-RA, LHUM_13194-RA, LHUM_22483-RA, LHUM_10414-RA, LHUM_10370-RA, LHUM_10742-RA
OG0000009	ACEP_00015354-RA	LHUM_15167-RA, LHUM_22779-RA, LHUM_13184-RA, LHUM_25199-RA, LHUM_10176-RA, LHUM_13329-RA
OG0000010	ACEP_00004994-RA, ACEP_00004998-RA	LHUM_25812-RA
OG0000010	ACEP_00012415-RA	LHUM_13202-RA, LHUM_11518-RA, LHUM_10028-RA, LHUM_23740-RA
OG0000010	ACEP_00014249-RA	LHUM_12833-RA, LHUM_15673-RA, LHUM_15168-RA, LHUM_15074-RA, LHUM_19319-RA, LHUM_25195-RA
OG0000010	ACEP_00003421-RA	LHUM_10062-RA
OG0000010	ACEP_00003500-RA	LHUM_14452-RA, LHUM_13387-RA
OG0000010	ACEP_00009755-RA, ACEP_00001029-RA	LHUM_14827-RA
OG0000011	ACEP_00009733-RA	LHUM_16721-RA
OG0000011	ACEP_00009311-RA	LHUM_19727-RA, LHUM_23847-RA, LHUM_11317-RA, LHUM_22545-RA, LHUM_15100-RA, LHUM_15699-RA
