Orthogroup	acep_annotation	lhum_annotation
OG0002111	ACEP_00014019-RA	LHUM_21945-RA
OG0002112	ACEP_00014022-RA	LHUM_21947-RA
OG0002113	ACEP_00014021-RA	LHUM_21951-RA
OG0002114	ACEP_00014014-RA	LHUM_20856-RA
OG0002115	ACEP_00014013-RA	LHUM_20854-RA
OG0002116	ACEP_00014009-RA	LHUM_21919-RA
OG0002117	ACEP_00014012-RA	LHUM_21917-RA
OG0002118	ACEP_00014011-RA	LHUM_21916-RA
OG0002119	ACEP_00014010-RA	LHUM_21915-RA
OG0002120	ACEP_00014016-RA	LHUM_21942-RA
OG0002121	ACEP_00014015-RA	LHUM_21948-RA
OG0002122	ACEP_00013997-RA	LHUM_15878-RA
OG0002123	ACEP_00013995-RA	LHUM_15877-RA
OG0002124	ACEP_00014004-RA	LHUM_21923-RA
OG0002125	ACEP_00013998-RA	LHUM_21930-RA
OG0002126	ACEP_00014002-RA	LHUM_21938-RA
OG0002127	ACEP_00013996-RA	LHUM_15882-RA
OG0002128	ACEP_00014003-RA	LHUM_21937-RA
OG0002129	ACEP_00014000-RA	LHUM_21935-RA
OG0002130	ACEP_00014006-RA	LHUM_21918-RA
OG0002131	ACEP_00017878-RA	LHUM_25352-RA
OG0002132	ACEP_00013990-RA	LHUM_11694-RA
OG0002133	ACEP_00013986-RA	LHUM_11718-RA
OG0002134	ACEP_00017881-RA	LHUM_25348-RA
OG0002135	ACEP_00013984-RA	LHUM_11722-RA
OG0002136	ACEP_00013987-RA	LHUM_25351-RA
OG0002138	ACEP_04573030-RA	LHUM_11723-RA
OG0002139	ACEP_00013983-RA	LHUM_11715-RA
OG0002140	ACEP_00013980-RA	LHUM_11716-RA
OG0002141	ACEP_00013981-RA	LHUM_11719-RA
OG0002142	ACEP_00013982-RA	LHUM_11714-RA
OG0002143	ACEP_00013978-RA	LHUM_11721-RA
OG0002144	ACEP_00013974-RA	LHUM_11724-RA
OG0002145	ACEP_00013971-RA	LHUM_11725-RA
OG0002146	ACEP_00013967-RA	LHUM_11726-RA
OG0002147	ACEP_00013959-RA	LHUM_11291-RA
OG0002148	ACEP_00013961-RA	LHUM_11290-RA
OG0002149	ACEP_00013955-RA	LHUM_11294-RA
OG0002150	ACEP_00013953-RA	LHUM_11293-RA
OG0002151	ACEP_00013956-RA	LHUM_11292-RA
OG0002152	ACEP_00013949-RA	LHUM_11295-RA
OG0002153	ACEP_00013942-RA	LHUM_11301-RA
OG0002154	ACEP_00013946-RA	LHUM_11299-RA
OG0002155	ACEP_00016794-RA	LHUM_24381-RA
OG0002156	ACEP_00016639-RA	LHUM_20210-RA
OG0002157	ACEP_00016304-RA	LHUM_16937-RA
OG0002158	ACEP_00016481-RA	LHUM_21914-RA
OG0002159	ACEP_00016467-RA	LHUM_17424-RA
OG0002160	ACEP_00016652-RA	LHUM_22592-RA
OG0002161	ACEP_00016458-RA	LHUM_21029-RA
OG0002162	ACEP_00016755-RA	LHUM_12789-RA
OG0002163	ACEP_00016476-RA	LHUM_16516-RA
OG0002164	ACEP_00002843-RA, ACEP_00016520-RA	LHUM_12972-RA
OG0002165	ACEP_00011549-RA	LHUM_19463-RA
OG0002166	ACEP_00011551-RA	LHUM_19460-RA
OG0002167	ACEP_00011548-RA	LHUM_19462-RA
OG0002168	ACEP_00011544-RA	LHUM_19464-RA
OG0002169	ACEP_00011529-RA	LHUM_19470-RA
OG0002170	ACEP_00011542-RA	LHUM_19471-RA
OG0002171	ACEP_00011543-RA	LHUM_19465-RA
OG0002172	ACEP_00011545-RA	LHUM_19468-RA
OG0002173	ACEP_00011541-RA	LHUM_19469-RA
OG0002174	ACEP_00011537-RA	LHUM_19466-RA
OG0002175	ACEP_00011547-RA	LHUM_19467-RA
OG0002176	ACEP_00011524-RA	LHUM_19474-RA
OG0002177	ACEP_00011527-RA	LHUM_19472-RA
OG0002178	ACEP_00011520-RA	LHUM_14701-RA
OG0002179	ACEP_00011519-RA	LHUM_14699-RA
OG0002180	ACEP_00011513-RA	LHUM_19456-RA
OG0002181	ACEP_00011518-RA	LHUM_14698-RA
OG0002182	ACEP_00011509-RA	LHUM_19458-RA
OG0002183	ACEP_00011502-RA	LHUM_um_apterous-RA
OG0002184	ACEP_00011499-RA	LHUM_19446-RA
OG0002185	ACEP_00011496-RA	LHUM_19450-RA
OG0002186	ACEP_00011492-RA	LHUM_19455-RA
OG0002187	ACEP_00011493-RA	LHUM_19453-RA
OG0002189	ACEP_00011489-RA	LHUM_19438-RA
OG0002190	ACEP_00011490-RA	LHUM_19440-RA
OG0002191	ACEP_00011485-RA	LHUM_19432-RA
OG0002192	ACEP_00011483-RA	LHUM_19431-RA
OG0002193	ACEP_00011484-RA	LHUM_19433-RA
OG0002194	ACEP_00011481-RA	LHUM_19428-RA
OG0002195	ACEP_00011474-RA	LHUM_19426-RA
OG0002196	ACEP_00011477-RA	LHUM_19427-RA
OG0002197	ACEP_00011473-RA	LHUM_19422-RA
OG0002198	ACEP_00011478-RA	LHUM_19420-RA
OG0002199	ACEP_00011476-RA	LHUM_19421-RA
OG0002200	ACEP_00011480-RA	LHUM_19423-RA
OG0002201	ACEP_00011469-RA	LHUM_19416-RA
OG0002202	ACEP_00011466-RA	LHUM_19412-RA
OG0002203	ACEP_00011465-RA	LHUM_19417-RA
OG0002204	ACEP_00011463-RA	LHUM_22552-RA
OG0002205	ACEP_00011462-RA	LHUM_22558-RA
OG0002206	ACEP_00011461-RA	LHUM_22557-RA
OG0002207	ACEP_00011451-RA	LHUM_22560-RA
OG0002208	ACEP_00011441-RA, ACEP_00011443-RA	LHUM_22567-RA
OG0002209	ACEP_00011440-RA	LHUM_22570-RA
OG0002210	ACEP_00011439-RA	LHUM_22569-RA
OG0002211	ACEP_00011437-RA	LHUM_22576-RA
OG0002212	ACEP_00011434-RA	LHUM_22574-RA
OG0002213	ACEP_00011435-RA	LHUM_22575-RA
OG0002214	ACEP_00011430-RA	LHUM_22582-RA
OG0002215	ACEP_00011433-RA	LHUM_22577-RA
OG0002216	ACEP_00011423-RA	LHUM_22589-RA
OG0002217	ACEP_00011424-RA	LHUM_22580-RA
OG0002218	ACEP_00011418-RA	LHUM_22584-RA
OG0002219	ACEP_00011413-RA	LHUM_22593-RA
OG0002220	ACEP_00011414-RA	LHUM_22585-RA
OG0002221	ACEP_00011417-RA	LHUM_22583-RA
OG0002222	ACEP_00011416-RA	LHUM_22587-RA
OG0002223	ACEP_00002710-RA	LHUM_18697-RA
OG0002224	ACEP_00002706-RA	LHUM_17857-RA
OG0002225	ACEP_00002699-RA	LHUM_23581-RA
OG0002226	ACEP_00002704-RA	LHUM_17856-RA
OG0002227	ACEP_00002702-RA	LHUM_17839-RA
OG0002228	ACEP_00002707-RA	LHUM_16022-RA
OG0002229	ACEP_00002703-RA	LHUM_14657-RA
OG0002230	ACEP_00002700-RA	LHUM_17767-RA
OG0002231	ACEP_00002705-RA	LHUM_17848-RA
OG0002232	ACEP_00002701-RA	LHUM_17834-RA
OG0002233	ACEP_00002695-RA	LHUM_23569-RA
OG0002234	ACEP_00002694-RA	LHUM_23576-RA
OG0002235	ACEP_00002685-RA	LHUM_23522-RA
OG0002236	ACEP_00002691-RA	LHUM_23577-RA
OG0002237	ACEP_00002683-RA	LHUM_23548-RA
OG0002238	ACEP_00002693-RA	LHUM_23567-RA
OG0002239	ACEP_00002690-RA	LHUM_23568-RA
OG0002240	ACEP_00002686-RA	LHUM_17549-RA
OG0002241	ACEP_00002684-RA	LHUM_23552-RA
OG0002242	ACEP_00002687-RA	LHUM_17551-RA
OG0002243	ACEP_00002697-RA	LHUM_23579-RA
OG0002244	ACEP_00002674-RA	LHUM_17821-RA
OG0002245	ACEP_00002681-RA	LHUM_um_dgs-RA
OG0002246	ACEP_00002676-RA	LHUM_14589-RA
OG0002247	ACEP_00002675-RA	LHUM_15631-RA
OG0002248	ACEP_00002680-RA	LHUM_23553-RA
OG0002249	ACEP_00002673-RA	LHUM_17827-RA
OG0002250	ACEP_00002666-RA	LHUM_14665-RA
OG0002251	ACEP_00002663-RA	LHUM_17819-RA
OG0002252	ACEP_00002665-RA	LHUM_17817-RA
OG0002253	ACEP_00002669-RA	LHUM_17840-RA
OG0002254	ACEP_00002655-RA	LHUM_14649-RA
OG0002255	ACEP_00002653-RA	LHUM_10647-RA
OG0002256	ACEP_00002650-RA	LHUM_20978-RA
OG0002257	ACEP_00002646-RA	LHUM_25295-RA
OG0002258	ACEP_00002643-RA	LHUM_17902-RA
OG0002259	ACEP_00002644-RA	LHUM_17906-RA
OG0002260	ACEP_00002640-RA	LHUM_17901-RA
OG0002261	ACEP_00002642-RA	LHUM_17904-RA
OG0002262	ACEP_00002648-RA	LHUM_10649-RA
OG0002263	ACEP_00002633-RA	LHUM_17894-RA
OG0002264	ACEP_00002630-RA	LHUM_17897-RA
OG0002265	ACEP_00002634-RA	LHUM_17896-RA
OG0002266	ACEP_00002629-RA	LHUM_17899-RA
OG0002267	ACEP_00002635-RA	LHUM_17903-RA
OG0002268	ACEP_00002623-RA	LHUM_17892-RA
OG0002269	ACEP_00002620-RA	LHUM_17887-RA
OG0002270	ACEP_00002621-RA	LHUM_17889-RA
OG0002271	ACEP_00002617-RA	LHUM_17881-RA
OG0002272	ACEP_00002618-RA	LHUM_17888-RA
OG0002273	ACEP_00002614-RA	LHUM_17883-RA
OG0002274	ACEP_00017080-RA	LHUM_17882-RA
OG0002275	ACEP_00002616-RA	LHUM_17885-RA
OG0002276	ACEP_00002611-RA	LHUM_17876-RA
OG0002277	ACEP_00002612-RA	LHUM_17879-RA
OG0002278	ACEP_00002608-RA	LHUM_17871-RA
OG0002279	ACEP_00002609-RA	LHUM_17878-RA
OG0002280	ACEP_00002610-RA	LHUM_17877-RA
OG0002281	ACEP_00002601-RA	LHUM_17869-RA
OG0002282	ACEP_00002604-RA	LHUM_17872-RA
OG0002283	ACEP_00002602-RA	LHUM_17870-RA
OG0002284	ACEP_00002603-RA	LHUM_17873-RA
OG0002285	ACEP_00002592-RA	LHUM_23643-RA
OG0002286	ACEP_00002598-RA	LHUM_12553-RA
OG0002287	ACEP_00002593-RA	LHUM_23644-RA
OG0002288	ACEP_00002595-RA	LHUM_12561-RA
OG0002289	ACEP_00002600-RA	LHUM_12552-RA
OG0002290	ACEP_00002591-RA	LHUM_23642-RA
OG0002291	ACEP_00002587-RA	LHUM_23635-RA
OG0002292	ACEP_00002586-RA	LHUM_23639-RA
OG0002293	ACEP_00002577-RA	LHUM_17550-RA
OG0002294	ACEP_00002576-RA	LHUM_17557-RA
OG0002295	ACEP_00002582-RA	LHUM_23628-RA
OG0002296	ACEP_00002584-RA	LHUM_23617-RA
OG0002297	ACEP_00002579-RA	LHUM_14647-RA
OG0002298	ACEP_00002580-RA	LHUM_23619-RA
OG0002299	ACEP_00002581-RA	LHUM_23624-RA
OG0002300	ACEP_00002575-RA	LHUM_17540-RA
OG0002301	ACEP_00002572-RA	LHUM_17541-RA
OG0002302	ACEP_00002571-RA	LHUM_17538-RA
OG0002303	ACEP_00002570-RA	LHUM_17539-RA
OG0002304	ACEP_00002567-RA	LHUM_17533-RA
OG0002305	ACEP_00002568-RA	LHUM_17529-RA
OG0002306	ACEP_00002560-RA	LHUM_17530-RA
OG0002307	ACEP_00002562-RA	LHUM_17531-RA
OG0002308	ACEP_00002558-RA	LHUM_17523-RA
OG0002309	ACEP_00017083-RA	LHUM_17534-RA
OG0002310	ACEP_00002551-RA	LHUM_17519-RA
OG0002311	ACEP_00002557-RA	LHUM_17522-RA
OG0002312	ACEP_00002549-RA	LHUM_17521-RA
OG0002313	ACEP_00002552-RA	LHUM_17526-RA
OG0002314	ACEP_00002546-RA	LHUM_17520-RA
OG0002315	ACEP_00002536-RA	LHUM_17507-RA
OG0002316	ACEP_00002539-RA	LHUM_17513-RA
OG0002317	ACEP_00002533-RA	LHUM_17514-RA
OG0002318	ACEP_00002532-RA	LHUM_17505-RA
OG0002319	ACEP_00002535-RA	LHUM_16828-RA
OG0002320	ACEP_00002542-RA	LHUM_17506-RA
OG0002321	ACEP_00002528-RA	LHUM_17500-RA
OG0002322	ACEP_00002530-RA	LHUM_17508-RA
OG0002323	ACEP_00002531-RA	LHUM_17510-RA
OG0002324	ACEP_00002526-RA	LHUM_17499-RA
OG0002325	ACEP_00002519-RA	LHUM_17494-RA
OG0002326	ACEP_00002517-RA	LHUM_17493-RA
OG0002327	ACEP_00002518-RA	LHUM_17492-RA
OG0002328	ACEP_00002496-RA	LHUM_23480-RA
OG0002329	ACEP_00002498-RA	LHUM_23487-RA
OG0002330	ACEP_00002504-RA	LHUM_23479-RA
OG0002331	ACEP_00002505-RA	LHUM_23472-RA
OG0002332	ACEP_00002492-RA	LHUM_17457-RA
OG0002333	ACEP_00002490-RA	LHUM_17455-RA
OG0002334	ACEP_00002491-RA	LHUM_17456-RA
OG0002335	ACEP_00002489-RA	LHUM_17458-RA
OG0002336	ACEP_00002487-RA	LHUM_17452-RA
OG0002339	ACEP_00002480-RA	LHUM_10494-RA
OG0002340	ACEP_00002465-RA	LHUM_15649-RA
OG0002341	ACEP_00002459-RA	LHUM_15642-RA
OG0002342	ACEP_00002456-RA	LHUM_15643-RA
OG0002343	ACEP_00002455-RA	LHUM_15647-RA
OG0002344	ACEP_00002458-RA	LHUM_15644-RA
OG0002345	ACEP_00002454-RA	LHUM_15640-RA
OG0002346	ACEP_00002448-RA	LHUM_15635-RA
OG0002347	ACEP_00002451-RA	LHUM_15637-RA
OG0002348	ACEP_00002452-RA	LHUM_15636-RA
OG0002349	ACEP_00002447-RA	LHUM_15634-RA
OG0002350	ACEP_00002444-RA	LHUM_14604-RA
OG0002351	ACEP_00002442-RA	LHUM_14602-RA
OG0002352	ACEP_00002440-RA	LHUM_14598-RA
OG0002353	ACEP_00002429-RA	LHUM_14597-RA
OG0002354	ACEP_00002433-RA	LHUM_14593-RA
OG0002355	ACEP_00002430-RA	LHUM_14590-RA
OG0002356	ACEP_00002425-RA	LHUM_14600-RA
OG0002357	ACEP_00002426-RA	LHUM_14599-RA
OG0002358	ACEP_00002428-RA	LHUM_14603-RA
OG0002359	ACEP_00002416-RA	LHUM_16798-RA
OG0002360	ACEP_00002418-RA	LHUM_16791-RA
OG0002361	ACEP_00002421-RA	LHUM_15267-RA
OG0002362	ACEP_00002414-RA	LHUM_16782-RA
OG0002363	ACEP_00002408-RA	LHUM_16781-RA
OG0002364	ACEP_00002407-RA	LHUM_11835-RA
OG0002365	ACEP_00002410-RA	LHUM_16780-RA
OG0002366	ACEP_00002405-RA	LHUM_11821-RA
OG0002367	ACEP_00002409-RA	LHUM_16785-RA
OG0002368	ACEP_00002406-RA	LHUM_11815-RA
OG0002370	ACEP_00002403-RA	LHUM_11820-RA
OG0002371	ACEP_00002400-RA	LHUM_11817-RA
OG0002372	ACEP_00002402-RA	LHUM_11814-RA
OG0002373	ACEP_00002401-RA	LHUM_11823-RA
OG0002374	ACEP_00002386-RA	LHUM_13322-RA
OG0002375	ACEP_00002379-RA	LHUM_14565-RA
OG0002376	ACEP_00002372-RA	LHUM_14643-RA
OG0002377	ACEP_00017120-RA	LHUM_25519-RA
OG0002378	ACEP_00002371-RA	LHUM_14640-RA
OG0002379	ACEP_00002369-RA	LHUM_14637-RA
OG0002380	ACEP_00002373-RA	LHUM_14636-RA
OG0002381	ACEP_00002366-RA	LHUM_14642-RA
OG0002382	ACEP_00002365-RA	LHUM_14635-RA
OG0002383	ACEP_00002367-RA	LHUM_14644-RA
OG0002384	ACEP_00002374-RA	LHUM_14578-RA
OG0002385	ACEP_00002375-RA	LHUM_14569-RA
OG0002386	ACEP_00002362-RA	LHUM_17768-RA
OG0002387	ACEP_00002358-RA	LHUM_17770-RA
OG0002388	ACEP_00002360-RA	LHUM_17772-RA
OG0002389	ACEP_00002355-RA	LHUM_17777-RA
OG0002390	ACEP_00002361-RA	LHUM_17765-RA
OG0002391	ACEP_00002357-RA	LHUM_17776-RA
OG0002392	ACEP_00002359-RA	LHUM_17766-RA
OG0002393	ACEP_00002363-RA	LHUM_17771-RA
OG0002394	ACEP_00002353-RA	LHUM_17774-RA
OG0002395	ACEP_00002354-RA	LHUM_17775-RA
OG0002396	ACEP_00002347-RA	LHUM_17780-RA
OG0002397	ACEP_00002346-RA	LHUM_17781-RA
OG0002398	ACEP_00002343-RA	LHUM_17779-RA
OG0002399	ACEP_00002342-RA	LHUM_17788-RA
OG0002400	ACEP_00002344-RA	LHUM_17782-RA
OG0002401	ACEP_00002337-RA	LHUM_17787-RA
OG0002402	ACEP_00002331-RA	LHUM_17790-RA
OG0002403	ACEP_00002328-RA	LHUM_17789-RA
OG0002404	ACEP_00002339-RA	LHUM_um_SCR-B6-RA
OG0002405	ACEP_00002324-RA	LHUM_17795-RA
OG0002406	ACEP_04566564-RA	LHUM_um_RpL40-RA
OG0002407	ACEP_00002326-RA	LHUM_17797-RA
OG0002408	ACEP_00002319-RA	LHUM_17801-RA
OG0002409	ACEP_00002322-RA	LHUM_17798-RA
OG0002410	ACEP_00002323-RA	LHUM_17796-RA
OG0002411	ACEP_00002313-RA	LHUM_17803-RA
OG0002412	ACEP_00002310-RA	LHUM_17802-RA
OG0002413	ACEP_00002318-RA	LHUM_17800-RA
OG0002414	ACEP_00002302-RA	LHUM_25693-RA
OG0002415	ACEP_00002299-RA	LHUM_17812-RA
OG0002416	ACEP_00002300-RA	LHUM_17813-RA
OG0002417	ACEP_00002292-RA	LHUM_17825-RA
OG0002418	ACEP_00002293-RA	LHUM_17818-RA
OG0002419	ACEP_00002296-RA	LHUM_17811-RA
OG0002420	ACEP_00002283-RA, ACEP_00002285-RA	LHUM_14663-RA
OG0002421	ACEP_00002287-RA	LHUM_14655-RA
OG0002422	ACEP_00002288-RA	LHUM_14664-RA
OG0002423	ACEP_00002290-RA	LHUM_14666-RA
OG0002424	ACEP_00002289-RA	LHUM_14667-RA
OG0002425	ACEP_00002278-RA	LHUM_17858-RA
OG0002426	ACEP_00002277-RA	LHUM_17850-RA
OG0002427	ACEP_00002280-RA	LHUM_17845-RA
OG0002428	ACEP_00002272-RA	LHUM_14579-RA
OG0002429	ACEP_00002273-RA	LHUM_14572-RA
OG0002430	ACEP_00002279-RA	LHUM_21059-RA
OG0002431	ACEP_00002269-RA	LHUM_14585-RA
OG0002432	ACEP_00002281-RA	LHUM_14659-RA
OG0002433	ACEP_00002270-RA	LHUM_14574-RA
OG0002434	ACEP_00002271-RA	LHUM_14575-RA
OG0002435	ACEP_00002264-RA	LHUM_23501-RA
OG0002436	ACEP_00002263-RA	LHUM_23491-RA
OG0002437	ACEP_00002261-RA	LHUM_23492-RA
OG0002438	ACEP_00002262-RA	LHUM_23500-RA
OG0002439	ACEP_00002265-RA	LHUM_14584-RA
OG0002440	ACEP_00002266-RA	LHUM_14581-RA
OG0002441	ACEP_00002253-RA	LHUM_23509-RA
OG0002442	ACEP_00002250-RA	LHUM_23504-RA
OG0002443	ACEP_00002242-RA	LHUM_23513-RA
OG0002444	ACEP_00002243-RA	LHUM_11670-RA
OG0002446	ACEP_00002246-RA	LHUM_23512-RA
OG0002447	ACEP_00002233-RA	LHUM_17485-RA
OG0002448	ACEP_00002238-RA	LHUM_14645-RA
OG0002449	ACEP_00002240-RA	LHUM_14634-RA
OG0002450	ACEP_00002239-RA	LHUM_14632-RA
OG0002451	ACEP_00002241-RA	LHUM_23515-RA
OG0002452	ACEP_00002231-RA	LHUM_17484-RA
OG0002453	ACEP_00002222-RA	LHUM_17477-RA
OG0002454	ACEP_00002223-RA	LHUM_17473-RA
OG0002455	ACEP_00002227-RA	LHUM_17475-RA
OG0002456	ACEP_00002224-RA	LHUM_17479-RA
OG0002457	ACEP_00017136-RA	LHUM_25682-RA
OG0002458	ACEP_00002229-RA	LHUM_17476-RA
OG0002459	ACEP_00002211-RA	LHUM_17469-RA
OG0002460	ACEP_00002206-RA	LHUM_17468-RA
OG0002461	ACEP_00002207-RA	LHUM_17463-RA
OG0002462	ACEP_00002203-RA	LHUM_17466-RA
OG0002463	ACEP_00002204-RA	LHUM_17464-RA
OG0002464	ACEP_00002208-RA	LHUM_17465-RA
OG0002465	ACEP_00002200-RA	LHUM_17467-RA
OG0002466	ACEP_00002192-RA	LHUM_23476-RA
OG0002467	ACEP_00002195-RA	LHUM_25674-RA
OG0002468	ACEP_00002194-RA	LHUM_23474-RA
OG0002469	ACEP_00002197-RA	LHUM_17461-RA
OG0002470	ACEP_00016603-RA	LHUM_11688-RA
OG0002471	ACEP_00010573-RA	LHUM_20756-RA
OG0002472	ACEP_00010571-RA	LHUM_20487-RA
OG0002473	ACEP_00010566-RA	LHUM_20758-RA
OG0002474	ACEP_00010567-RA	LHUM_20760-RA
OG0002475	ACEP_00010559-RA	LHUM_16786-RA
OG0002476	ACEP_00010549-RA	LHUM_16784-RA
OG0002477	ACEP_00010544-RA	LHUM_12876-RA
OG0002478	ACEP_00010534-RA	LHUM_20310-RA
OG0002479	ACEP_00010533-RA	LHUM_20292-RA
OG0002480	ACEP_00010535-RA	LHUM_20303-RA
OG0002481	ACEP_00010536-RA	LHUM_20294-RA
OG0002482	ACEP_00010528-RA	LHUM_22513-RA
OG0002483	ACEP_00010529-RA	LHUM_20286-RA
OG0002484	ACEP_00010527-RA	LHUM_22516-RA
OG0002485	ACEP_00010531-RA	LHUM_20297-RA
OG0002486	ACEP_00010512-RB	LHUM_22499-RA
OG0002487	ACEP_00010515-RA	LHUM_22498-RA
OG0002488	ACEP_00010526-RA	LHUM_22511-RA
OG0002489	ACEP_00007720-RA, ACEP_00010491-RA	LHUM_18907-RA
OG0002490	ACEP_00010494-RA	LHUM_23647-RA
OG0002491	ACEP_00010485-RA	LHUM_14476-RA
OG0002493	ACEP_00010459-RA	LHUM_14480-RA
OG0002494	ACEP_00010452-RA	LHUM_22501-RA
OG0002495	ACEP_00010440-RA	LHUM_22494-RA
OG0002496	ACEP_00010441-RA	LHUM_22502-RA
OG0002497	ACEP_00010439-RA	LHUM_15986-RA
OG0002498	ACEP_00010437-RA	LHUM_15981-RA
OG0002500	ACEP_00010433-RA	LHUM_15980-RA
OG0002501	ACEP_00010428-RA	LHUM_15222-RA
OG0002502	ACEP_00010430-RA	LHUM_15984-RA
OG0002503	ACEP_00010423-RA	LHUM_15226-RA
OG0002504	ACEP_00010421-RA	LHUM_15217-RA
OG0002505	ACEP_00010419-RA	LHUM_15231-RA
OG0002506	ACEP_00016567-RA	LHUM_21765-RA
OG0002507	ACEP_00016468-RA	LHUM_23959-RA
OG0002508	ACEP_00016580-RA	LHUM_11672-RA
OG0002509	ACEP_00016581-RA	LHUM_11666-RA
OG0002510	ACEP_00008253-RA	LHUM_15700-RA
OG0002511	ACEP_00008255-RA	LHUM_10387-RA
OG0002512	ACEP_00008252-RA	LHUM_15702-RA
OG0002513	ACEP_00008254-RA	LHUM_15693-RA
OG0002514	ACEP_00008260-RA	LHUM_25189-RA
OG0002515	ACEP_00008256-RA	LHUM_10395-RA
OG0002516	ACEP_00008257-RA	LHUM_25183-RA
OG0002517	ACEP_00008246-RA	LHUM_16235-RA
OG0002518	ACEP_00008244-RA	LHUM_23885-RA
OG0002519	ACEP_00008245-RA	LHUM_23882-RA
OG0002520	ACEP_00008251-RA	LHUM_15696-RA
OG0002521	ACEP_00017729-RA	LHUM_19900-RA
OG0002522	ACEP_00008239-RA	LHUM_18853-RA
OG0002523	ACEP_00008242-RA	LHUM_18848-RA
OG0002524	ACEP_00008240-RA	LHUM_18847-RA
OG0002525	ACEP_00008241-RA	LHUM_18852-RA
OG0002526	ACEP_00008243-RA	LHUM_23880-RA
OG0002527	ACEP_00008228-RA	LHUM_18842-RA
OG0002528	ACEP_00008230-RA	LHUM_18841-RA
OG0002529	ACEP_00008235-RA	LHUM_18839-RA
OG0002530	ACEP_00008236-RA	LHUM_18850-RA
OG0002531	ACEP_00008221-RA	LHUM_22948-RA
OG0002532	ACEP_00008226-RA	LHUM_18831-RA
OG0002533	ACEP_00008224-RA	LHUM_22959-RA
OG0002534	ACEP_00008225-RA	LHUM_18826-RA
OG0002535	ACEP_00008223-RA	LHUM_22958-RA
OG0002536	ACEP_00008215-RA	LHUM_10399-RA
OG0002537	ACEP_00008213-RA	LHUM_10400-RA
OG0002538	ACEP_00008216-RA	LHUM_10402-RA
OG0002539	ACEP_00008214-RA	LHUM_10406-RA
OG0002540	ACEP_00008212-RA	LHUM_10405-RA
OG0002541	ACEP_00008208-RA	LHUM_10384-RA
OG0002542	ACEP_00008206-RA	LHUM_18725-RA
OG0002543	ACEP_00008209-RA	LHUM_10393-RA
OG0002544	ACEP_00008211-RA	LHUM_10386-RA
OG0002545	ACEP_00008200-RA	LHUM_18741-RA
OG0002546	ACEP_00008199-RA	LHUM_18737-RA
OG0002547	ACEP_00008198-RA	LHUM_18740-RA
OG0002548	ACEP_00008195-RA	LHUM_22926-RA
OG0002549	ACEP_00008196-RA	LHUM_22928-RA
OG0002550	ACEP_00008193-RA	LHUM_22927-RA
OG0002551	ACEP_00008192-RA	LHUM_22925-RA
OG0002552	ACEP_00008189-RA	LHUM_22923-RA
OG0002553	ACEP_00008188-RA	LHUM_22922-RA
OG0002554	ACEP_00008183-RA	LHUM_22920-RA
OG0002555	ACEP_00008181-RA	LHUM_22918-RA
OG0002556	ACEP_00008174-RA	LHUM_22914-RA
OG0002557	ACEP_00008175-RA	LHUM_22915-RA
OG0002558	ACEP_00008177-RA	LHUM_22916-RA
OG0002559	ACEP_00008170-RA	LHUM_22909-RA
OG0002560	ACEP_00008169-RA	LHUM_22905-RA
OG0002561	ACEP_00008166-RA	LHUM_22908-RA
OG0002562	ACEP_00008165-RA	LHUM_22910-RA
OG0002563	ACEP_00008171-RA	LHUM_22906-RA
OG0002564	ACEP_00008164-RA	LHUM_22912-RA
OG0002565	ACEP_00008163-RA	LHUM_22903-RA
OG0002566	ACEP_00008155-RA	LHUM_24269-RA
OG0002567	ACEP_00008159-RA	LHUM_24278-RA
OG0002568	ACEP_00008142-RA	LHUM_24202-RA
OG0002569	ACEP_00008150-RA	LHUM_24267-RA
OG0002570	ACEP_00008144-RA	LHUM_24198-RA
OG0002571	ACEP_00008143-RA	LHUM_24192-RA
OG0002572	ACEP_00008141-RA	LHUM_24193-RA
OG0002573	ACEP_00008151-RA	LHUM_24281-RA
OG0002574	ACEP_00008148-RA	LHUM_24190-RA
OG0002575	ACEP_00008149-RA	LHUM_24201-RA
OG0002576	ACEP_00008139-RA	LHUM_24182-RA
OG0002577	ACEP_00008134-RA	LHUM_24181-RA
OG0002578	ACEP_00008104-RA	LHUM_24164-RA
OG0002579	ACEP_00008105-RA	LHUM_24169-RA
OG0002580	ACEP_00008112-RA	LHUM_24165-RA
OG0002581	ACEP_00008114-RA	LHUM_24174-RA
OG0002582	ACEP_00008097-RA	LHUM_24162-RA
OG0002583	ACEP_00008102-RA	LHUM_24161-RA
OG0002584	ACEP_00008093-RA	LHUM_24159-RA
OG0002585	ACEP_00008088-RA	LHUM_24157-RA
OG0002586	ACEP_00008090-RA	LHUM_24154-RA
OG0002587	ACEP_00008089-RA	LHUM_24153-RA
OG0002588	ACEP_00008091-RA	LHUM_24156-RA
OG0002589	ACEP_00008083-RA	LHUM_24152-RA
OG0002590	ACEP_00008081-RA	LHUM_24149-RA
OG0002591	ACEP_00008080-RA	LHUM_24150-RA
OG0002592	ACEP_00008073-RA	LHUM_24147-RA
OG0002593	ACEP_00008067-RA	LHUM_24144-RA
OG0002594	ACEP_00008059-RA	LHUM_24136-RA
OG0002595	ACEP_00008055-RA	LHUM_24135-RA
OG0002596	ACEP_00016210-RA	LHUM_13825-RA
OG0002597	ACEP_00016209-RA	LHUM_13826-RA
